x;y;a;z;index
-0.195;-8.468;6.206;10.501;
-2.570;-8.602;5.190;10.371;
-2.436;-8.315;5.095;10.052;
-2.263;-8.985;5.190;10.621;
-1.095;-7.127;5.056;8.807;
-1.919;-9.138;6.282;11.254;
-0.769;-8.142;5.631;9.930;
-1.363;-6.284;6.301;9.003;
-1.229;-8.238;6.512;10.573;
-0.137;-8.046;7.221;10.813;
-0.578;-6.610;7.221;9.807;
-1.037;-7.970;7.604;11.065;
-1.401;-6.418;6.206;9.038;
-0.080;-7.510;7.795;10.825;
-0.022;-6.437;6.301;9.008;
-0.386;-6.208;6.742;9.173;
-0.463;-6.380;6.780;9.322;
-0.654;-6.303;6.244;8.897;
-0.080;-6.801;6.608;9.483;
0.264;-6.610;6.876;9.542;
-1.919;-5.997;7.412;9.726;
0.073;-7.165;6.110;9.417;
-0.271;-5.844;7.432;9.459;
-0.750;-8.238;8.293;11.714;
-0.654;-8.525;6.646;10.830;
0.858;-6.265;5.363;8.292;
1.279;-8.027;9.462;12.474;
-0.731;-6.265;5.727;8.520;
-0.061;-7.855;8.044;11.244;
-0.195;-6.457;5.688;8.608;
0.341;-7.683;5.861;9.670;
0.379;-7.242;6.244;9.570;
0.130;-7.089;6.570;9.667;
0.762;-8.583;9.500;12.826;
0.149;-5.882;5.880;8.319;
0.226;-8.200;7.412;11.056;
0.513;-6.974;5.861;9.125;
0.954;-8.372;6.455;10.615;
0.092;-7.893;6.436;10.185;
1.049;-8.430;6.378;10.623;
1.049;-7.855;8.217;11.416;
0.054;-7.893;8.542;11.631;
1.413;-6.744;5.420;8.767;
1.490;-7.414;7.221;10.457;
-0.041;-8.181;8.849;12.052;
1.241;-9.617;5.899;11.351;
-0.118;-8.161;7.834;11.314;
2.026;-7.836;7.106;10.771;
0.187;-6.706;8.313;10.683;
1.126;-7.223;6.550;9.816;
0.073;-8.525;8.983;12.385;
1.049;-6.399;6.761;9.368;
0.820;-5.039;9.558;10.836;
0.245;-6.303;7.297;9.646;
-0.520;-7.127;7.968;10.703;
0.168;-6.457;6.799;9.378;
0.858;-6.246;6.934;9.372;
0.724;-4.829;8.619;9.906;
1.126;-5.920;7.585;9.688;
-0.118;-7.453;8.964;11.659;
0.973;-5.422;7.317;9.159;
1.107;-6.821;7.393;10.120;
-0.118;-5.288;8.236;9.789;
-0.137;-8.181;7.125;10.850;
1.988;-8.851;10.803;14.107;
-2.053;-3.871;4.175;6.053;
-3.049;-1.783;11.741;12.261;
-0.080;-1.726;8.964;9.129;
-1.746;-6.763;10.458;12.577;
-1.746;-6.916;6.072;9.368;
-4.524;-8.564;4.194;10.555;
-5.271;-7.070;3.122;9.356;
-5.864;-6.246;7.355;11.292;
-5.788;-4.235;7.087;10.083;
-5.443;-2.971;7.355;9.621;
-5.615;-3.258;8.179;10.443;
-4.753;-3.220;6.167;8.426;
-6.324;-2.856;8.581;11.036;
-5.558;-3.354;7.815;10.160;
-5.883;-4.082;6.723;9.823;
-6.420;-3.756;7.029;10.234;
-6.267;-4.254;7.374;10.572;
-5.998;-3.833;6.646;9.739;
-4.811;-3.354;6.072;8.442;
-6.075;-3.200;9.136;11.429;
-5.443;-3.296;8.064;10.273;
-5.079;-2.856;7.259;9.309;
-5.558;-3.756;7.891;10.358;
-5.424;-3.641;6.206;9.011;
-6.496;-4.484;7.355;10.789;
-5.903;-3.890;5.746;9.111;
-5.903;-4.101;7.221;10.189;
-5.807;-4.120;7.451;10.307;
-5.347;-3.909;6.474;9.263;
-5.922;-3.124;6.742;9.502;
-6.037;-3.641;7.757;10.483;
-5.251;-3.967;6.723;9.408;
-6.726;-4.407;6.953;10.631;
-6.247;-4.331;6.819;10.212;
-4.600;-3.239;6.416;8.534;
-4.926;-2.798;8.083;9.871;
-4.485;-4.139;7.949;10.022;
-4.658;-4.580;7.259;9.766;
-4.715;-5.882;7.393;10.559;
-4.696;-5.710;6.493;9.840;
-4.562;-5.786;6.799;10.026;
-4.543;-6.265;6.646;10.202;
-5.558;-5.039;6.436;9.885;
-3.547;-5.518;4.999;8.248;
-6.496;-6.265;6.704;11.243;
-5.136;-5.250;6.895;10.074;
-5.232;-4.848;5.995;9.318;
-6.094;-5.001;6.474;10.202;
-6.152;-4.235;6.397;9.834;
-6.247;-4.388;6.953;10.326;
-5.788;-4.388;7.221;10.243;
-6.420;-4.465;7.585;10.895;
-5.749;-4.139;6.167;9.393;
-6.132;-4.024;6.416;9.745;
-6.113;-3.871;7.029;10.088;
-5.462;-3.871;6.646;9.434;
-6.726;-3.986;7.010;10.501;
-5.654;-4.082;6.914;9.821;
-5.769;-3.775;5.995;9.137;
-5.654;-5.135;7.719;10.860;
-5.500;-4.158;6.244;9.303;
-6.324;-3.698;6.876;10.048;
-5.424;-4.426;6.052;9.255;
-5.883;-4.369;6.570;9.842;
-5.730;-3.679;6.876;9.678;
-6.094;-3.928;6.685;9.862;
-6.956;-5.097;8.677;12.234;
-4.907;-3.698;6.972;9.294;
-6.037;-4.196;7.451;10.468;
-5.883;-4.560;6.282;9.741;
-5.328;-5.384;6.397;9.915;
-5.558;-5.518;5.535;9.591;
-6.956;-8.085;6.991;12.753;
-4.064;-7.146;3.447;8.915;
-4.332;-8.564;6.972;11.863;
-3.393;-7.089;3.582;8.638;
-1.919;-9.330;5.880;11.195;
-2.551;-8.947;7.546;11.980;
-2.110;-4.637;6.857;8.543;
-3.125;-6.476;8.217;10.919;
-1.248;-6.035;5.516;8.271;
1.260;-3.564;13.025;13.563;
1.049;-5.001;9.941;11.178;
0.839;-3.526;8.293;9.051;
-0.080;-2.396;8.945;9.261;
-0.041;-4.388;9.634;10.587;
-0.233;-3.718;9.309;10.027;
-0.233;-5.327;9.596;10.978;
0.685;-4.350;8.408;9.492;
0.341;-4.350;10.669;11.527;
-0.176;-3.392;8.849;9.479;
-0.616;-3.679;9.500;10.206;
0.532;-4.829;8.332;9.645;
-0.712;-6.016;8.964;10.820;
0.781;-4.867;7.432;8.918;
1.279;-4.005;8.370;9.367;
0.666;-4.733;8.926;10.126;
1.375;-4.005;8.236;9.261;
1.241;-4.216;10.362;11.256;
0.302;-2.875;9.213;9.656;
1.260;-2.319;6.091;6.638;
7.753;4.345;11.377;14.437;
3.156;1.683;5.152;6.272;
7.198;3.005;13.465;15.561;
4.325;0.208;2.834;5.175;
1.260;1.147;9.385;9.539;
4.919;-2.434;14.308;15.325;
2.524;-1.304;1.992;3.470;
3.252;-2.338;6.397;7.548;
4.152;3.254;9.155;10.566;
9.037;-1.879;12.354;15.421;
2.735;-2.281;6.244;7.188;
2.697;-2.262;9.002;9.666;
5.359;-4.714;11.396;13.447;
0.724;-1.879;2.758;3.415;
7.983;-3.967;14.289;16.842;
1.490;-0.003;2.988;3.339;
3.654;-4.024;10.592;11.905;
6.164;-4.292;8.542;11.375;
4.459;0.361;6.225;7.666;
7.313;-4.101;11.186;13.980;
4.172;-0.194;4.482;6.126;
9.516;-5.078;13.867;17.568;
0.820;-4.560;3.716;5.940;
7.447;-9.655;12.431;17.413;
4.670;-5.192;7.125;9.977;
2.697;-0.404;7.278;7.772;
7.389;-2.281;10.094;12.716;
6.681;0.878;5.420;8.648;
5.723;-2.032;9.155;10.986;
4.344;0.131;6.206;7.576;
4.497;-4.043;5.248;8.007;
6.642;2.602;10.573;12.754;
10.473;-3.430;7.470;13.313;
5.302;-2.262;8.428;10.211;
3.616;0.419;7.776;8.586;
7.773;-8.046;6.340;12.859;
4.191;-2.070;7.891;9.172;
6.489;-2.300;12.009;13.843;
3.827;-2.530;6.550;7.997;
5.455;-3.469;10.669;12.475;
4.861;-8.928;5.478;11.548;
3.252;-8.334;6.550;11.088;
4.325;-3.737;9.155;10.793;
6.547;-4.522;6.895;10.529;
4.919;-3.085;7.815;9.736;
5.953;-5.173;10.132;12.840;
6.221;-7.012;6.378;11.338;
4.765;-6.936;4.463;9.526;
5.091;-1.879;10.228;11.579;
4.114;-0.519;7.278;8.376;
6.259;-2.109;11.607;13.355;
2.658;-5.250;5.210;7.860;
6.738;-0.519;10.918;12.840;
5.033;-4.216;6.589;9.302;
0.417;-2.109;7.872;8.161;
4.746;0.783;11.722;12.671;
4.363;0.093;6.321;7.681;
2.467;-4.024;8.217;9.476;
6.259;-0.213;10.171;11.944;
4.612;-3.066;8.753;10.358;
2.984;-3.296;7.815;8.991;
5.244;-3.200;3.850;7.250;
5.589;-2.722;7.336;9.616;
5.474;0.400;9.845;11.272;
5.321;-6.054;5.554;9.788;
6.738;0.419;10.841;12.771;
5.589;-2.722;10.803;12.464;
4.133;-1.668;4.750;6.514;
5.378;-5.997;11.186;13.785;
3.444;-3.737;4.884;7.049;
8.577;-7.280;13.542;17.606;
7.389;-3.411;8.466;11.743;
1.260;0.725;6.589;6.748;
5.378;-5.556;10.515;13.052;
6.144;-3.430;5.056;8.665;
2.965;-2.798;3.945;5.673;
3.310;1.568;7.776;8.595;
4.306;-5.920;8.064;10.891;
8.347;-1.515;10.247;13.303;
1.222;0.017;3.658;3.857;
6.757;6.433;13.695;16.571;
5.474;1.357;7.795;9.621;
0.417;1.568;9.328;9.468;
7.083;-7.031;7.221;12.319;
7.389;-0.519;11.147;13.384;
3.539;-0.385;6.359;7.288;
1.681;-0.270;6.206;6.435;
10.090;-2.951;11.320;15.449;
2.065;-2.971;4.405;5.701;
7.351;-5.844;9.768;13.550;
5.742;0.457;7.355;9.342;
4.804;1.376;8.504;9.863;
5.857;-6.323;8.811;12.326;
8.366;-2.817;8.140;12.008;
6.642;-5.901;5.957;10.697;
4.440;-8.468;7.776;12.325;
3.137;-9.694;5.650;11.651;
6.278;-1.419;8.504;10.665;
9.401;-3.220;7.317;12.340;
4.919;-1.898;11.090;12.280;
7.773;-2.990;7.393;11.136;
4.612;-2.032;6.857;8.510;
4.804;-6.093;10.726;13.238;
4.861;0.227;5.803;7.573;
3.769;-6.801;9.902;12.590;
8.290;-0.385;8.332;11.760;
5.359;-3.813;7.221;9.767;
4.421;-4.560;8.791;10.846;
5.321;-3.181;7.451;9.693;
3.271;-4.024;8.466;9.928;
1.413;-4.656;11.128;12.146;
-1.363;-8.908;5.842;10.740;
-0.846;-5.039;4.405;6.747;
-4.294;-10.517;4.692;12.291;
-3.911;-8.736;2.509;9.896;
-1.823;-7.912;7.010;10.727;
-5.960;-11.609;4.941;13.954;
0.379;-9.406;5.420;10.863;
-1.650;-7.548;3.486;8.477;
-2.627;-9.445;6.129;11.562;
-1.880;-7.146;3.754;8.289;
0.532;-8.564;6.531;10.784;
-1.727;-8.640;5.918;10.614;
-2.321;-9.962;4.865;11.327;
-2.129;-9.215;4.271;10.378;
-1.765;-6.821;4.041;8.123;
-1.267;-8.372;5.305;9.992;
-2.168;-9.177;5.037;10.691;
-0.693;-9.234;4.348;10.230;
-0.271;-8.717;6.033;10.605;
-0.482;-8.487;3.735;9.286;
0.130;-8.200;4.712;9.459;
-0.195;-9.387;6.091;11.192;
-1.670;-9.502;4.673;10.720;
-1.325;-10.364;4.769;11.486;
-1.516;-11.169;4.846;12.270;
-1.784;-6.974;4.903;8.710;
-4.064;-7.759;6.857;11.124;
-2.091;-6.035;6.321;8.987;
-4.006;-7.185;8.734;11.999;
-5.845;-6.667;6.436;10.957;
-4.485;-5.001;7.432;10.019;
-4.734;-8.257;10.266;14.000;
-4.753;-7.012;3.945;9.345;
-3.508;-1.611;11.090;11.743;
-3.336;-5.020;7.432;9.569;
-5.060;-3.124;8.236;10.159;
-3.451;-3.066;7.872;9.126;
-5.558;-3.545;8.830;11.020;
-5.041;-4.599;7.795;10.360;
-4.485;-3.315;8.102;9.837;
-7.109;-2.377;10.017;12.512;
-2.378;-0.156;8.734;9.054;
-2.800;2.794;7.700;8.657;
-3.087;1.357;9.653;10.225;
-5.117;-1.917;8.485;10.093;
-3.777;-3.507;8.485;9.928;
-3.642;-6.916;6.761;10.335;
-0.999;-2.089;9.328;9.611;
1.298;-0.959;11.875;11.984;
4.325;-6.437;7.355;10.688;
4.344;-10.268;2.566;11.441;
4.401;-7.299;5.708;10.258;
3.022;-5.461;6.244;8.829;
4.689;-7.108;6.512;10.720;
3.999;-8.468;6.608;11.462;
3.635;-3.584;9.960;11.192;
3.022;-7.778;7.259;11.060;
3.271;-2.358;8.293;9.222;
3.348;-3.258;4.884;6.759;
4.842;-7.146;7.451;11.403;
4.593;-5.576;8.734;11.335;
5.570;-5.173;6.799;10.199;
5.493;-4.465;6.685;9.737;
5.148;-2.434;7.087;9.091;
5.780;-4.714;7.336;10.462;
4.095;-5.844;7.700;10.498;
4.497;-6.284;8.351;11.378;
5.033;-5.039;6.972;9.967;
5.838;-8.449;7.795;12.893;
3.156;-5.920;7.700;10.213;
6.106;-5.307;6.301;10.254;
6.317;-6.916;6.474;11.386;
8.845;5.954;21.395;23.905;
4.957;-14.865;0.095;15.670;
5.321;-5.422;2.854;8.115;
4.727;-5.307;5.420;8.938;
2.658;-7.740;6.761;10.616;
4.057;-6.591;6.934;10.392;
3.980;-6.016;6.550;9.744;
3.616;-7.510;7.489;11.206;
4.229;-5.939;6.570;9.815;
4.229;-7.146;8.600;11.955;
2.965;-10.651;5.152;12.198;
0.513;-6.591;4.635;8.074;
-0.061;-6.859;5.727;8.936;
-2.359;-6.227;7.068;9.711;
-2.225;-6.936;7.604;10.530;
-2.340;-5.518;7.891;9.910;
-2.493;-3.967;8.255;9.492;
-1.612;-2.913;9.251;9.832;
-1.823;-3.545;9.519;10.320;
-1.306;-0.998;6.340;6.550;
2.735;2.123;9.864;10.454;
2.237;-2.990;8.485;9.271;
4.248;-6.993;8.600;11.871;
5.876;2.602;9.979;11.869;
4.631;1.032;8.447;9.688;
7.715;4.077;7.949;11.804;
3.463;-7.932;3.601;9.375;
9.132;11.145;6.570;15.835;
7.715;3.579;3.677;9.265;
5.934;4.288;5.459;9.132;
7.907;-0.481;5.114;9.429;
5.455;5.878;6.110;10.081;
7.389;4.901;5.650;10.513;
8.385;5.169;6.761;11.947;
8.041;-5.480;5.535;11.195;
0.666;2.009;0.996;2.339;
12.350;8.521;8.293;17.143;
8.883;2.851;-0.287;9.333;
9.381;5.610;5.439;12.209;
4.861;-1.362;4.156;6.539;
2.754;-8.774;3.103;9.706;
6.144;-8.353;8.198;13.219;
-1.057;-10.996;-0.823;11.078;
5.129;-8.046;10.745;14.370;
5.780;-6.514;3.735;9.476;
0.609;-11.188;1.724;11.337;
1.490;-6.955;5.095;8.750;
3.156;-8.506;5.899;10.822;
1.662;3.292;0.996;3.819;
5.340;1.070;6.857;8.757;
7.160;-9.215;3.313;12.131;
6.183;-8.544;2.011;10.737;
7.658;1.740;11.780;14.158;
1.777;6.989;8.370;11.048;
-2.168;0.898;6.282;6.706;
-2.187;6.088;6.723;9.330;
-0.903;4.250;13.293;13.985;
-2.263;8.464;7.068;11.257;
-0.923;3.962;9.826;10.635;
-1.478;-1.534;8.332;8.600;
-6.860;-1.400;7.010;9.908;
-6.286;-1.611;4.635;7.975;
-4.696;-5.154;7.125;9.970;
-5.558;-6.380;9.021;12.369;
-5.711;-0.538;10.458;11.928;
-5.309;3.924;5.823;8.803;
2.275;2.468;5.114;6.117;
2.582;8.061;2.969;8.970;
6.298;8.042;8.772;13.464;
5.053;9.115;7.183;12.657;
0.264;-4.522;6.512;7.933;
-2.359;-3.564;10.228;11.086;
5.838;6.548;13.331;15.958;
-0.444;7.161;5.918;9.300;
2.505;0.764;10.056;10.392;
3.041;3.943;8.734;10.054;
4.401;-2.932;6.627;8.478;
2.926;9.191;8.332;12.746;
5.263;7.544;7.412;11.813;
4.478;1.683;8.581;9.824;
3.080;-1.975;5.037;6.226;
2.639;-5.537;11.435;12.977;
2.792;-4.043;8.255;9.607;
4.018;-4.848;9.807;11.655;
1.164;0.036;5.976;6.089;
-5.213;11.605;-1.072;12.767;
0.628;-0.175;10.649;10.669;
1.624;11.279;12.527;16.934;
1.854;1.415;9.251;9.541;
0.322;3.637;5.574;6.663;
2.065;7.985;4.060;9.192;
0.398;11.911;1.206;11.978;
1.930;10.226;4.080;11.177;
2.237;7.582;1.934;8.138;
2.103;10.973;6.646;13.000;
0.532;12.716;2.547;12.979;
-0.769;3.713;0.402;3.813;
-2.206;-5.250;4.194;7.073;
-5.271;-14.387;2.087;15.464;
-5.462;-6.437;-1.053;8.508;
-5.232;-7.912;2.566;9.827;
-8.833;-1.994;1.283;9.146;
-16.361;4.652;3.409;17.348;
-5.117;2.047;9.136;10.670;
-10.346;-1.860;5.650;11.935;
-2.685;-2.070;6.129;7.005;
-1.325;4.039;5.669;7.086;
-7.263;5.341;4.539;10.094;
-5.903;1.760;6.321;8.826;
-4.868;11.049;7.297;14.107;
-10.653;2.238;5.095;12.019;
-7.627;3.273;6.723;10.681;
-10.844;-2.913;0.613;11.246;
-5.960;-4.541;6.953;10.222;
-9.121;-1.879;1.264;9.398;
-13.066;-3.526;5.018;14.434;
-8.872;0.706;4.060;9.783;
-6.094;-4.733;7.757;10.942;
-5.673;-6.955;13.887;16.535;
-5.788;9.287;-3.160;11.390;
-5.098;-4.082;12.795;14.366;
-3.738;-0.060;8.523;9.307;
-4.619;3.005;5.497;7.784;
-5.041;13.616;9.289;17.236;
3.080;-18.677;7.470;20.350;
-1.919;-7.031;5.957;9.413;
-3.777;-1.515;7.910;8.896;
-1.133;-17.298;3.639;17.713;
-5.807;-2.089;7.968;10.079;
-9.178;-10.058;5.344;14.628;
-6.343;-13.812;6.072;16.367;
-7.627;-8.564;3.218;11.912;
11.488;-8.066;-6.569;15.498;
-0.367;-22.125;-21.471;30.833;
4.401;14.306;-5.477;15.938;
-3.681;-8.142;-9.845;13.296;
-4.868;-4.580;-5.746;8.815;
-6.611;-9.406;-4.290;12.272;
-8.412;-0.251;-10.036;13.098;
-10.557;4.116;4.712;12.272;
0.054;4.594;-0.746;4.654;
-0.942;5.035;6.244;8.076;
-6.401;-11.609;4.750;14.083;
-7.205;-22.527;-14.901;27.954;
7.792;-4.024;11.454;14.426;
1.279;-10.268;3.716;10.995;
0.073;-13.486;2.930;13.801;
0.571;-9.521;5.056;10.796;
-3.049;-8.506;4.846;10.254;
3.099;-5.135;2.375;6.451;
2.256;-9.502;2.068;9.983;
3.137;-10.594;1.264;11.121;
1.643;-9.311;4.099;10.306;
-0.290;-13.391;-1.991;13.542;
3.961;-10.364;-2.011;11.276;
1.203;-11.303;1.494;11.465;
-0.616;-7.127;-2.202;7.485;
-2.627;-8.525;-3.830;9.708;
3.214;-11.015;-1.915;11.633;
3.386;-7.453;-0.287;8.191;
6.374;-9.924;1.858;11.940;
6.508;-7.759;0.574;10.143;
6.240;-7.127;-0.459;9.484;
7.773;-7.970;0.593;11.149;
6.413;-8.181;-0.402;10.403;
6.815;-7.319;0.057;10.001;
6.451;-7.223;-0.306;9.689;
8.175;-7.510;0.823;11.131;
6.527;-7.031;-0.287;9.598;
8.903;-8.008;0.517;11.986;
6.298;-8.027;0.670;10.225;
6.777;-7.510;1.896;10.292;
6.068;-7.855;1.187;9.997;
5.570;-7.683;0.728;9.518;
7.792;-6.955;3.218;10.929;
6.815;-11.437;4.424;14.030;
0.283;-6.993;3.945;8.034;
-2.646;-6.801;4.865;8.771;
-0.750;-8.487;6.857;10.937;
0.781;-4.599;8.906;10.054;
3.999;4.748;5.018;7.982;
4.459;0.170;9.826;10.792;
-4.389;-7.395;7.087;11.144;
-1.535;-7.338;2.164;7.803;
-4.140;-9.062;1.589;10.089;
-3.872;-7.357;5.344;9.884;
-4.026;-8.813;3.275;10.228;
-5.175;-5.499;3.773;8.442;
-8.565;-15.268;-4.175;17.998;
-6.554;-10.249;3.716;12.721;
-6.899;-2.722;2.490;7.824;
-8.757;-3.028;4.252;10.195;
-7.205;-6.323;5.995;11.307;
-6.745;-5.614;2.164;9.039;
-6.535;-2.951;7.106;10.096;
-8.048;-1.055;2.241;8.421;
-8.163;-2.568;-0.880;8.603;
0.762;6.242;11.396;13.016;
8.769;6.088;10.688;15.106;
1.069;4.863;3.428;6.045;
3.903;4.154;8.638;10.349;
-0.329;2.468;8.485;8.843;
0.245;3.943;7.183;8.198;
2.831;-2.473;9.845;10.538;
2.582;2.334;10.726;11.277;
1.605;1.836;10.573;10.851;
2.237;-3.296;8.389;9.287;
3.884;0.342;8.945;9.758;
3.559;-1.936;11.090;11.807;
8.998;-6.476;1.647;11.208;
4.995;-11.782;3.198;13.191;
10.186;-3.737;1.973;11.028;
12.312;-5.518;1.053;13.533;
2.563;-8.544;-1.953;9.132;
7.370;-12.050;-1.187;14.175;
0.800;-8.487;3.160;9.092;
-1.593;-3.373;5.420;6.580;
-1.593;-12.394;-3.064;12.867;
-2.627;-8.449;-3.447;9.496;
-2.244;-8.621;-5.861;10.664;
1.183;-6.878;-1.321;7.103;
1.107;-10.307;-4.979;11.500;
3.923;-14.521;0.230;15.044;
6.872;-9.655;-5.439;13.039;
0.551;-20.018;-0.039;20.026;
-4.006;-9.023;-0.459;9.884;
-5.654;-10.268;1.494;11.817;
-0.961;-0.079;7.604;7.665;
-3.547;-0.615;9.749;10.393;
-5.213;1.721;4.329;6.992;
-3.987;-8.659;1.091;9.596;
-11.170;-5.288;-2.451;12.600;
-5.405;-5.001;2.202;7.687;
-5.769;-8.870;3.984;11.307;
-6.401;-4.541;4.080;8.846;
-7.205;-4.943;4.654;9.900;
-9.006;-6.840;1.149;11.368;
-5.883;3.847;5.976;9.226;
-9.983;3.522;10.649;15.016;
-1.957;-0.137;0.095;1.965;
-3.125;10.551;2.222;11.226;
-5.060;-2.951;10.324;11.870;
-4.543;-0.346;7.125;8.458;
2.237;0.419;8.428;8.730;
7.868;-4.982;8.542;12.637;
13.461;-5.920;7.144;16.349;
7.581;-7.625;6.608;12.621;
12.427;-10.211;1.724;16.176;
0.456;-1.036;11.607;11.662;
2.620;-6.188;6.167;9.121;
-2.551;-7.050;7.393;10.530;
1.509;-7.472;4.443;8.824;
8.175;-7.625;5.248;12.350;
7.389;-7.855;-1.359;10.869;
6.164;-2.798;4.367;8.056;
17.522;-0.787;-0.440;17.545;
4.727;-0.710;1.398;4.980;
13.979;-1.381;0.536;14.057;
6.987;-4.982;0.804;8.619;
8.443;-3.698;3.984;10.041;
11.623;-7.185;4.175;14.288;
3.482;-3.105;2.911;5.499;
9.056;-5.959;4.539;11.753;
7.945;-1.304;5.114;9.538;
5.876;-4.982;3.543;8.480;
13.232;-13.984;8.428;21.016;
4.516;-1.917;2.164;5.362;
10.492;-4.426;3.486;11.909;
5.225;-0.022;2.834;5.944;
7.332;-5.173;6.436;11.043;
8.864;-9.521;4.941;13.915;
4.823;-4.905;2.777;7.418;
5.531;-7.587;4.424;10.379;
2.946;-3.986;7.642;9.109;
1.835;-12.567;7.642;14.823;
1.279;-9.943;2.892;10.434;
0.992;-10.498;2.547;10.848;
-3.681;-21.531;8.504;23.441;
2.505;-15.823;8.849;18.302;
14.132;-7.797;5.765;17.139;
6.298;-11.418;-0.325;13.044;
8.577;-6.744;2.394;11.170;
10.550;0.955;3.045;11.022;
5.244;-3.852;4.807;8.090;
10.339;-4.043;8.868;14.209;
7.466;-1.266;4.137;8.629;
6.681;-4.445;1.015;8.088;
8.290;-8.928;-1.608;12.289;
9.707;-4.101;3.179;11.007;
7.907;-3.373;-0.287;8.601;
10.339;-2.281;1.130;10.647;
10.435;-3.871;0.593;11.145;
8.328;-4.848;1.187;9.709;
8.730;-4.005;0.249;9.608;
8.156;-4.694;0.498;9.423;
9.650;-4.445;-0.019;10.624;
10.741;-3.622;0.862;11.368;
7.849;-4.982;0.804;9.331;
8.290;-3.373;0.402;8.959;
7.447;-5.690;0.076;9.372;
8.251;-7.031;2.432;11.110;
8.041;-9.196;-0.900;12.249;
8.481;-4.867;-1.110;9.841;
7.562;-5.461;0.938;9.375;
9.956;-6.572;1.551;12.030;
8.941;-4.560;2.585;10.364;
7.504;-4.082;2.892;9.019;
7.524;-2.587;4.463;9.122;
6.719;-8.046;5.516;11.845;
7.102;-7.932;4.846;11.698;
9.975;-0.883;3.045;10.466;
8.634;-8.315;5.133;13.040;
5.359;-5.901;4.175;8.999;
7.351;-6.188;4.520;10.619;
6.259;-1.553;8.830;10.934;
8.060;-2.434;8.389;11.885;
7.677;-2.147;4.405;9.108;
7.140;-3.277;5.957;9.859;
7.773;-2.089;5.861;9.957;
7.868;-3.239;6.455;10.680;
6.891;-2.338;6.129;9.514;
8.060;-4.139;4.137;9.960;
8.941;-7.797;2.509;12.126;
8.558;-6.188;2.298;10.808;
7.945;-3.967;0.536;8.896;
7.121;-3.986;7.297;10.947;
8.156;-7.261;3.179;11.373;
8.079;-1.113;6.416;10.376;
6.930;-8.851;3.505;11.775;
11.144;-4.043;1.953;12.014;
8.577;-3.871;6.148;11.240;
3.616;-4.235;2.126;5.961;
4.267;-6.878;2.107;8.364;
4.804;-7.797;4.252;10.097;
5.972;-8.295;3.103;10.682;
6.930;-9.866;2.298;12.274;
7.466;-5.518;2.317;9.569;
7.562;-6.514;2.662;10.330;
7.045;-5.825;0.574;9.159;
9.132;-5.116;3.198;10.945;
9.094;-2.913;-0.211;9.551;
10.205;-1.438;1.589;10.427;
9.592;-2.549;1.570;10.048;
9.611;-1.438;1.340;9.810;
9.305;-2.109;1.628;9.679;
9.745;-1.170;1.475;9.925;
9.592;-1.362;1.283;9.772;
9.841;-2.377;1.379;10.217;
10.052;-1.170;0.593;10.137;
9.860;-0.442;1.053;9.926;
9.937;-1.840;1.264;10.184;
9.745;-2.377;2.183;10.265;
9.305;-3.660;2.911;10.414;
7.734;-3.488;3.237;9.081;
7.792;-3.334;3.045;9.006;
10.263;-3.909;2.662;11.300;
11.048;0.189;3.160;11.492;
9.765;-3.124;0.115;10.253;
9.094;-1.553;1.455;9.339;
10.454;2.507;1.953;10.926;
8.979;-0.404;0.689;9.014;
9.209;2.066;2.126;9.674;
9.267;1.989;1.762;9.640;
10.703;0.342;2.126;10.917;
10.454;1.549;2.222;10.799;
8.769;-0.864;3.026;9.316;
9.516;1.894;2.854;10.113;
9.439;1.453;3.716;10.247;
9.592;1.262;3.390;10.251;
8.654;-0.710;2.509;9.038;
9.343;1.511;2.451;9.776;
10.684;-0.251;2.796;11.046;
9.343;0.189;1.762;9.509;
9.822;1.434;2.911;10.344;
8.826;1.760;4.214;9.937;
9.056;-0.825;2.222;9.361;
9.937;-0.098;2.834;10.333;
8.520;-1.266;3.218;9.195;
10.129;-1.132;2.317;10.452;
10.263;-1.860;1.992;10.618;
8.826;-1.745;2.432;9.320;
6.757;-4.350;1.494;8.174;
7.466;-5.556;2.375;9.605;
7.983;-8.985;5.018;13.025;
6.317;-5.805;4.769;9.816;
9.132;-1.860;6.416;11.314;
3.693;-7.932;3.179;9.309;
8.596;-5.920;4.692;11.443;
7.677;-6.361;2.490;10.276;
2.792;-11.494;-2.777;12.150;
2.275;-8.104;-1.781;8.604;
0.590;-8.736;-1.666;8.913;
-3.930;-10.843;1.934;11.695;
-3.355;-3.564;3.352;5.933;
-2.072;-3.756;-7.297;8.465;
-7.205;-2.511;-3.332;8.326;
7.409;-6.763;12.316;15.885;
10.895;-7.855;5.803;14.631;
8.903;-0.844;3.084;9.459;
11.910;-5.825;5.516;14.360;
12.140;-4.982;0.076;13.123;
11.316;-9.579;0.115;14.826;
4.229;-1.228;0.977;4.511;
8.634;-15.517;-2.758;17.970;
4.957;-5.116;-8.619;11.182;
5.972;-10.019;-3.370;12.141;
9.209;-8.468;-4.194;13.195;
3.999;-1.170;-0.173;4.170;
3.233;6.357;7.240;10.162;
7.006;-13.889;4.443;16.178;
2.658;-10.747;-9.040;14.293;
4.670;-0.270;-1.838;5.026;
9.650;-13.889;7.489;18.496;
4.823;-2.051;5.957;7.934;
4.727;-9.081;-9.174;13.747;
