x,y;z;a;
8.404;2.607;-0.281;8.803
5.502;3.929;-2.292;7.139
14.437;5.806;0.131;15.561
8.672;3.335;-1.670;9.440
9.888;0.510;0.744;9.929
8.576;3.192;0.590;9.170
7.484;4.197;0.495;8.595
11.133;-4.977;0.887;12.227
8.202;-0.467;0.504;8.231
9.064;1.238;0.859;9.189
9.064;4.561;-1.095;10.206
6.622;4.417;-1.785;8.158
10.415;3.575;1.577;11.123
10.903;5.490;2.132;12.392
2.159;8.363;-4.658;9.813
9.007;2.445;4.948;10.563
6.277;5.203;-0.990;8.213
6.651;5.270;-0.961;8.540
7.149;4.082;-2.570;8.624
5.186;1.966;-5.098;7.533
19.762;24.615;-4.035;31.823
1.547;9.350;-0.118;9.477
12.972;2.684;-1.440;13.324
7.819;8.095;-0.022;11.255
3.500;11.849;-3.135;12.747
-1.480;10.259;-5.041;11.526
-3.788;10.978;-2.378;11.854
-1.844;10.671;-0.377;10.836
6.220;1.104;2.132;6.667
2.437;-0.917;6.796;7.278
3.299;0.261;8.654;9.265
1.824;2.263;9.909;10.326
4.094;3.479;8.386;9.959
4.927;0.874;8.874;10.188
4.429;0.252;7.936;9.092
4.918;0.175;7.572;9.030
4.535;-0.246;7.601;8.854
4.343;1.975;8.683;9.907
3.692;1.190;9.267;10.046
2.677;0.328;8.884;9.284
2.265;-0.227;9.545;9.812
3.577;1.209;9.066;9.821
5.578;1.133;7.974;9.797
4.927;1.267;8.060;9.532
1.441;2.809;7.093;7.764
-2.141;15.440;2.793;15.836
27.078;5.318;-5.931;28.226
11.861;1.841;0.409;12.010
13.910;2.569;3.588;14.593
11.047;0.223;-1.986;11.226
8.193;1.583;-2.158;8.619
7.197;1.822;-0.300;7.430
9.811;3.556;1.539;10.549
8.988;3.517;4.986;10.863
10.127;3.977;-1.402;10.970
8.997;1.899;-2.283;9.475
8.576;1.180;-0.741;8.688
9.304;-0.802;4.038;10.174
10.740;5.011;4.268;12.597
8.978;2.991;-0.693;9.488
9.639;2.904;-2.761;10.439
7.455;3.709;-3.575;9.062
9.821;2.579;0.389;10.161
9.333;0.472;2.276;9.618
8.451;3.795;-0.568;9.282
7.906;3.038;2.669;8.880
8.222;1.851;-0.195;8.430
11.593;4.312;-1.890;12.512
11.775;1.334;-1.162;11.907
7.561;1.142;-1.066;7.721
12.560;1.602;-2.666;12.939
6.689;1.966;0.523;6.992
27.730;7.501;-2.350;28.822
9.294;4.504;-0.798;10.359
6.977;6.591;-0.386;9.606
7.685;-1.702;0.696;7.902
6.574;2.799;-0.501;7.163
11.123;1.822;0.112;11.272
6.977;0.481;-0.415;7.006
6.526;5.528;0.983;8.610
7.034;1.535;1.328;7.321
10.577;0.481;1.548;10.701
10.127;2.109;-0.434;10.354
6.680;1.133;-1.536;6.947
9.112;3.661;-0.109;9.821
7.446;-0.313;2.123;7.749
8.978;3.584;2.362;9.952
14.169;4.140;3.847;15.254
7.973;1.899;-2.225;8.492
8.260;-0.869;0.964;8.361
9.917;-0.151;6.748;11.996
6.584;3.795;4.124;8.646
9.467;3.058;3.349;10.497
8.997;-0.534;2.889;9.465
9.505;-0.428;-2.101;9.744
11.545;1.525;0.839;11.675
7.226;3.881;3.626;8.968
10.673;4.896;3.205;12.172
21.687;8.852;-10.624;25.720
17.396;-7.199;2.669;19.015
8.107;1.966;-0.942;8.395
7.331;1.008;1.701;7.593
9.246;2.598;1.510;9.722
7.992;2.320;0.284;8.327
7.436;2.828;-0.377;7.965
11.200;3.766;-1.220;11.879
11.372;9.417;-2.742;15.017
2.590;0.807;2.898;3.970
6.325;9.120;4.823;12.101
-1.834;5.940;8.539;10.563
7.599;-0.074;-2.407;7.972
1.077;13.439;-9.877;16.713
9.103;1.449;-0.712;9.245
5.138;3.469;-2.311;6.616
3.318;6.170;-3.882;8.009
8.059;6.362;-2.781;10.637
8.997;8.325;-2.024;12.424
-2.313;26.032;7.457;27.178
2.983;4.561;-3.690;6.582
-2.658;-7.611;5.503;9.761
-18.613;-19.343;12.073;29.433
-4.822;2.368;8.281;9.871
-0.034;-0.352;11.690;11.695
-4.669;-8.741;4.258;10.786
17.205;12.998;18.078;28.138
4.295;1.659;8.731;9.871
7.130;-2.124;7.725;10.725
-5.014;-3.407;0.227;6.066
