x;y;z;a
-1.133;-4.867;4.463;6.701
-1.421;-5.825;5.018;7.819
8.443;-9.866;8.332;15.429
0.398;-11.111;-1.129;11.176
2.524;-10.288;-1.436;10.69
7.543;-9.636;3.409;12.703
8.385;-3.967;-1.187;9.352
14.668;-9.636;5.114;18.28
15.798;0.055;-1.551;15.874
-2.608;2.104;3.045;4.528
26.18;3.062;-0.842;26.371
0.762;0.878;2.834;3.063
9.956;-4.56;-5.477;12.244
10.282;-2.645;1.513;10.724
9.343;-3.258;2.681;10.251
10.761;-3.698;1.379;11.462
9.554;-2.76;2.413;10.233
9.42;5.016;8.791;13.826
9.324;-2.971;3.007;10.237
8.807;-2.875;3.543;9.919
9.075;-2.166;5.42;10.79
8.424;-1.649;5.095;9.982
7.658;-3.488;4.099;9.36
7.715;-3.852;4.463;9.71
7.734;-3.411;4.941;9.791
8.769;-3.085;6.129;11.134
6.93;-2.741;5.88;9.493
7.466;-3.181;8.542;11.782
6.623;-4.484;5.823;9.893
5.302;-5.863;5.918;9.875
5.091;-5.403;5.229;9.081
4.459;-6.495;5.325;9.509
3.98;-9.809;8.581;13.627
4.114;-4.522;2.566;6.63
2.582;-5.537;6.072;8.614
3.137;-7.376;6.167;10.114
