x;y;z;a
[20210414 19:19:43]	-0.911556;0.581253;-9.435667;9.497400;stasis
[20210414 19:19:43]	-0.911556;0.571677;-9.387783;9.449244;stasis
[20210414 19:19:43]	-0.911556;0.552523;-9.473974;9.533751;stasis
[20210414 19:19:43]	-0.959440;0.514216;-9.406937;9.469710;stasis
[20210414 19:19:43]	-0.921133;0.533369;-9.560165;9.619238;stasis
[20210414 19:19:44]	-0.901979;0.609984;-9.493128;9.555371;stasis
[20210414 19:19:44]	-0.930709;0.648291;-9.483551;9.551138;stasis
[20210414 19:19:44]	-0.969016;0.504639;-9.397360;9.460657;stasis
[20210414 19:19:44]	-1.007324;0.571677;-9.406937;9.477973;stasis
[20210414 19:19:45]	-0.969016;0.562100;-9.406937;9.473405;stasis
[20210414 19:19:45]	-0.978593;0.408871;-9.301592;9.361860;stasis
[20210414 19:19:45]	-0.911556;0.571677;-9.426090;9.487303;stasis
[20210414 19:19:45]	-0.892402;0.562100;-9.416513;9.475393;stasis
[20210414 19:19:45]	-0.959440;0.504639;-9.416513;9.478708;stasis
[20210414 19:19:46]	-1.055208;0.495062;-9.320745;9.393341;stasis
[20210414 19:19:46]	A stasis: {avg:9,670,mediana:9,478,sqm:1,589};
[20210414 19:19:46]	min: 9,123300; max: 10,104300; mediana: 9,477973; sqm: 1,588909; min_sqm: 1,000000; filtered: 0; spikes: 23; true;
[20210414 19:19:46]	fall detected
[20210414 19:19:46]	Hard Fall
