x;y;z;a
4.631;3.771;7.91;9.911
4.497;3.694;7.853;9.774
4.67;2.89;8.428;10.059
5.014;2.621;8.044;9.834
4.746;2.832;7.968;9.697
4.65;2.66;7.815;9.475
5.072;3.1;9.175;10.932
2.831;0.821;7.604;8.155
5.512;2.066;8.121;10.03
5.168;-2.587;8.274;10.093
10.876;-24.557;6.934;27.739
4.401;-4.771;8.064;10.352
4.057;-4.158;7.719;9.661
4.267;-3.871;8.293;10.098
4.076;-4.062;8.428;10.205
3.865;-4.082;8.14;9.893
4.267;-3.641;8.274;9.996
3.693;-3.143;8.696;9.957
3.961;-4.101;8.274;10.048
4.267;-3.296;8.408;9.988
3.961;-3.488;8.677;10.156
3.865;-3.718;8.657;10.184
3.769;-4.254;8.217;9.991
3.999;-3.603;8.542;10.097
3.98;-3.239;8.466;9.9
4.018;-2.894;9.06;10.325
3.942;-3.354;8.677;10.104
3.808;-3.679;8.868;10.329
3.654;-4.445;8.064;9.907
3.846;-4.541;8.313;10.224
3.961;-3.564;8.332;9.89
3.942;-2.951;9.06;10.312
3.961;-3.967;8.025;9.789
4.076;-3.469;8.408;9.967
3.846;-3.22;9.06;10.356
3.827;-4.235;7.968;9.802
