x;y;z;a
-5.5;5.705;14.116;16.188
-6.65;2.43;11.033;13.11
-0.674;-10.498;3.294;11.024
6.527;-7.548;2.739;10.348
6.566;-6.131;8.274;12.213
3.846;-7.548;2.202;8.753
4.478;14.957;5.708;16.623
7.14;-4.541;8.906;12.285
6.662;-8.085;5.899;12.023
9.075;-4.12;5.42;11.345
18.135;14.938;21.759;32.023
6.087;-5.25;4.846;9.386
6.508;-4.963;5.765;10.011
5.11;-4.407;8.006;10.471
4.593;-3.967;6.301;8.749
5.972;-6.648;6.55;11.08
4.765;-5.403;7.106;10.119
4.459;-4.216;6.589;9.004
4.555;-6.208;6.953;10.375
8.73;-9.445;7.144;14.713
-0.022;-3.469;3.39;4.851
7.37;-12.605;4.405;15.252
-0.08;0.093;4.539;4.541
0.877;-4.924;7.604;9.102
5.493;0.112;6.129;8.231
1.643;-11.169;6.474;13.014
2.946;-2.76;4.194;5.821
2.122;-6.84;6.914;9.955
3.597;-5.997;5.842;9.112
2.486;-5.327;7.278;9.356
2.256;-5.288;7.642;9.563
3.386;-6.227;6.972;9.943
3.329;-7.338;7.106;10.744
2.448;-4.675;6.57;8.427
3.98;-7.07;7.489;11.042
2.869;-4.79;6.646;8.68
