[20210414 14:11:45]	0.716501;16.373407;0.610403;16.400440;last second
[20210414 14:11:45]	-7.644051;-11.906902;11.393888;18.166632;last second
[20210414 14:11:45]	-1.601086;1.414436;-1.036808;2.374673;free fall
[20210414 14:11:45]	-2.194848;15.080539;-11.283991;18.962290;possible fall detected
[20210414 14:11:45]	-5.182812;13.395020;-3.402279;14.760204;possible fall detected
[20210414 14:11:45]	-4.512435;5.666538;-6.495588;9.729562;possible fall detected
[20210414 14:11:46]	-3.947403;6.260300;-6.811622;10.058407;possible fall detected
[20210414 14:11:46]	-3.430256;12.877873;-8.564178;15.841446;possible fall detected
[20210414 14:11:46]	-2.214001;5.791036;-0.414315;6.213659;possible fall detected
[20210414 14:11:46]	-1.371242;6.451836;2.219306;6.959297;possible fall detected
[20210414 14:11:46]	-2.376807;12.734221;1.070090;12.998258;possible fall detected
[20210414 14:11:47]	-1.093515;9.152495;0.648710;9.240388;possible fall detected
[20210414 14:11:47]	-2.032042;9.133342;-0.739927;9.385873;possible fall detected
[20210414 14:11:47]	-2.434268;9.506837;-1.946604;10.004743;possible fall detected
[20210414 14:11:47]	-2.386384;10.043139;0.189023;10.324495;possible fall detected
[20210414 14:11:47]	-2.223578;7.639360;2.439573;8.321997;possible fall detected
[20210414 14:11:48]	-7.213095;12.188343;1.070090;14.203152;possible fall detected
[20210414 14:11:48]	3.206471;6.538027;1.999040;7.551385;possible fall detected
[20210414 14:11:48]	2.306251;7.783012;3.512175;8.844741;possible fall detected
[20210414 14:11:48]	-1.926697;11.019973;0.361406;11.192970;possible fall detected
[20210414 14:11:48]	-2.664111;10.617746;4.996581;12.033281;possible fall detected
[20210414 14:11:49]	-1.361665;2.659420;4.421972;5.336711;possible fall detected
[20210414 14:11:49]	-12.604836;20.433973;11.374734;26.567155;shock T_DURATION: 4030
[20210414 14:11:49]	-1.179706;-0.548810;2.669416;2.969627;stasis
[20210414 14:11:49]	-0.126258;15.722185;3.378100;16.081499;stasis
[20210414 14:11:49]	1.444339;6.739140;3.655828;7.801743;stasis
[20210414 14:11:50]	-4.675241;6.461412;9.315721;12.263375;stasis
[20210414 14:11:50]	-1.361665;7.016868;3.263178;7.857410;stasis
[20210414 14:11:50]	0.381313;18.681417;11.681191;22.036129;stasis
[20210414 14:11:50]	-4.397513;-0.041239;6.231988;7.627418;stasis
[20210414 14:11:50]	-1.141399;3.080800;0.332676;3.302241;stasis
[20210414 14:11:51]	4.413149;18.911261;-2.118987;19.534630;stasis
[20210414 14:11:51]	-0.997747;6.250723;5.580766;8.438719;stasis
[20210414 14:11:51]	0.275968;7.543592;2.726877;8.026070;stasis
[20210414 14:11:51]	-0.461446;10.550709;0.629557;10.579543;stasis
[20210414 14:11:51]	A stasis: {avg:10,543,mediana:9,509,sqm:5,957};
[20210414 14:11:52]	min: 9,123300; max: 10,104300; mediana: 9,509131; true;
[20210414 14:11:52]	fall detected
[20210414 14:11:52]	Hard Fall
[20210414 14:11:52]	-0.787057;12.159613;0.256061;12.187748;last second
[20210414 14:11:52]	-0.260333;9.162072;0.217754;9.168356;last second
[20210414 14:11:53]	-1.380819;9.976101;0.936014;10.114612;last second
[20210414 14:11:53]	-0.231602;1.519781;0.303945;1.567085;free fall
[20210414 14:11:53]	-1.083938;12.648030;3.598367;13.194538;possible fall detected
[20210414 14:11:53]	2.861706;9.880333;-1.869990;10.455009;possible fall detected
[20210414 14:11:53]	-1.055208;6.806178;2.372535;7.284672;possible fall detected
[20210414 14:11:53]	-1.802199;8.395927;8.674074;12.205699;possible fall detected
[20210414 14:11:53]	-3.229143;-2.847243;8.741112;9.743777;possible fall detected
[20210414 14:11:53]	-3.305758;-3.661272;9.133761;10.380681;possible fall detected
[20210414 14:11:54]	-1.285051;-3.699579;8.578306;9.430036;possible fall detected
[20210414 14:11:54]	-0.049643;-4.963718;8.932648;10.219254;possible fall detected
[20210414 14:11:54]	0.323852;-2.952588;9.535987;9.987878;possible fall detected
[20210414 14:11:54]	-0.030489;-3.268623;4.268743;5.376522;possible fall detected
[20210414 14:11:55]	0.362160;-1.075534;4.603931;4.741742;possible fall detected
[20210414 14:11:55]	-0.289063;-0.347697;9.219953;9.231033;possible fall detected
[20210414 14:11:55]	-1.256321;-1.841679;4.872082;5.357920;possible fall detected
[20210414 14:11:55]	-0.729596;-0.548810;6.864058;6.924507;possible fall detected
[20210414 14:11:55]	0.630310;-4.628530;9.947789;10.989954;possible fall detected
[20210414 14:11:55]	1.291110;-2.559939;9.286990;9.719488;possible fall detected
[20210414 14:11:56]	0.208931;-2.694015;8.798573;9.204143;possible fall detected
[20210414 14:11:56]	0.333429;-3.862385;8.338886;9.195989;possible fall detected
[20210414 14:11:56]	-0.700866;-2.655707;9.047569;9.455290;possible fall detected
[20210414 14:11:56]	-1.141399;-4.705144;11.317273;12.309421;possible fall detected
[20210414 14:11:57]	-1.648970;-1.362838;9.219953;9.464880;possible fall detected
[20210414 14:11:57]	-1.256321;-0.117853;7.208823;7.318426;possible fall detected
[20210414 14:11:57]	-3.573908;4.411976;9.871175;11.387644;possible fall detected
[20210414 14:11:57]	-5.134928;5.532463;9.267837;11.952758;possible fall detected
[20210414 14:11:57]	-5.632922;2.822226;6.088336;8.761427;possible fall detected
[20210414 14:11:58]	-6.303298;6.078341;9.009262;12.563622;possible fall detected
[20210414 14:11:58]	[1618402318006] no fall
[20210414 14:12:50]	-8.936919;1.605972;1.903272;9.277398;last second
[20210414 14:12:50]	-8.075006;2.611537;-0.414315;8.496912;last second
[20210414 14:12:50]	-9.703064;3.205298;1.089243;10.276665;last second
[20210414 14:12:50]	-10.766089;-0.309390;-0.107858;10.771074;last second
[20210414 14:12:50]	-10.354287;-0.069969;-0.127011;10.355303;last second
[20210414 14:12:50]	-8.735806;-0.050816;-0.127011;8.736878;last second
[20210414 14:12:50]	-11.034240;1.845392;-0.222779;11.189707;last second
[20210414 14:12:50]	-8.228235;2.161427;3.761172;9.301722;last second
[20210414 14:12:50]	-7.605744;1.280360;4.077207;8.724121;last second
[20210414 14:12:50]	-11.666309;7.294595;7.055594;15.462707;last second
[20210414 14:12:50]	-1.514894;0.590830;2.133115;2.682194;free fall
[20210414 14:12:50]	-4.493281;6.710410;8.875187;11.999505;possible fall detected
[20210414 14:12:50]	-0.787057;2.659420;6.413948;6.987897;possible fall detected
[20210414 14:12:50]	0.429197;8.166084;3.780326;9.008885;possible fall detected
[20210414 14:12:51]	-1.170129;11.479659;4.996581;12.574482;possible fall detected
[20210414 14:12:51]	-2.568343;-1.985331;7.180092;7.879826;possible fall detected
[20210414 14:12:51]	-8.994380;9.181226;-0.615428;12.867499;possible fall detected
[20210414 14:12:51]	-3.066337;8.683231;2.056501;9.435578;possible fall detected
[20210414 14:12:51]	-4.771009;10.330442;0.198600;11.380686;possible fall detected
[20210414 14:12:52]	-4.138940;9.056727;1.280779;10.039698;possible fall detected
