[20210415 07:24:55]	-6.801292;-4.599799;9.459373;12.525792;stasis
[20210415 07:25:35]	-7.893048;-0.769076;6.002145;9.945724;stasis
[20210415 07:25:35]	-7.893048;-0.769076;6.002145;9.945724;stasis
[20210415 07:25:35]	-6.916214;2.697728;7.745124;10.728406;stasis
[20210415 07:25:35]	-4.952968;4.603512;6.873635;9.642151;stasis
[20210415 07:25:35]	-6.351182;5.494155;4.757160;9.651623;stasis
[20210415 07:25:35]	-6.648063;5.034469;3.627097;9.093869;stasis
[20210415 07:25:35]	-6.916214;2.697728;7.745124;10.728406;stasis
[20210415 07:25:36]	-4.952968;4.603512;6.873635;9.642151;stasis
[20210415 07:25:36]	-6.351182;5.494155;4.757160;9.651623;stasis
[20210415 07:25:36]	-6.648063;5.034469;3.627097;9.093869;stasis
[20210415 07:25:36]	-7.462091;6.336914;3.148257;10.283521;stasis
[20210415 07:25:36]	-4.952968;7.380786;2.037347;9.119138;stasis
[20210415 07:25:36]	-5.393501;7.036021;2.085231;9.107340;stasis
[20210415 07:25:36]	-7.462091;6.336914;3.148257;10.283521;stasis
[20210415 07:25:36]	-4.952968;7.380786;2.037347;9.119138;stasis
[20210415 07:25:36]	-5.393501;7.036021;2.085231;9.107340;stasis
[20210415 07:25:36]	-6.705524;6.461412;4.546471;10.362640;stasis
[20210415 07:25:36]	-6.705524;6.461412;4.546471;10.362640;stasis
[20210415 07:25:36]	-5.939379;8.079893;4.910389;11.165698;stasis
[20210415 07:25:36]	-5.939379;8.079893;4.910389;11.165698;stasis
[20210415 07:25:36]	-5.632922;6.806178;4.536894;9.931630;stasis
[20210415 07:25:37]	-5.632922;6.806178;4.536894;9.931630;stasis
[20210415 07:25:37]	-5.240273;6.145378;3.876094;8.958249;stasis
[20210415 07:25:37]	-5.240273;6.145378;3.876094;8.958249;stasis
[20210415 07:25:37]	A stasis: {avg:9,824,mediana:9,978,sqm:1,789};
[20210415 07:25:37]	min: 9,123300; max: 10,104300; mediana: 9,977797; sqm: 1,788596; min_sqm: 1,000000; filtered: 0; spikes: 7; false; 
[20210415 07:25:37]	A stasis: {avg:9,824,mediana:9,978,sqm:1,789};
[20210415 07:25:37]	min: 9,123300; max: 10,104300; mediana: 9,977797; sqm: 1,788596; min_sqm: 1,000000; filtered: 0; spikes: 7; false; 
[20210415 07:25:43]	-4.589049;5.676115;5.245577;8.988533;last second
[20210415 07:25:43]	-2.625804;6.231569;4.345357;8.037999;last second
[20210415 07:25:43]	-5.029583;6.863638;4.249589;9.511322;last second
[20210415 07:25:43]	-11.015086;11.326430;5.695687;16.794672;last second
[20210415 07:25:43]	-3.880366;6.949830;4.297473;9.045753;last second
[20210415 07:25:43]	-1.696854;9.334455;2.851376;9.906649;last second
[20210415 07:25:43]	-5.661652;9.382339;-0.749504;10.983822;last second
[20210415 07:25:43]	-2.798187;9.774988;-0.318547;10.172596;last second
[20210415 07:25:43]	-4.617780;8.558733;-2.061526;9.941111;last second
[20210415 07:25:43]	-2.970569;6.528450;-2.272216;7.523823;last second
[20210415 07:25:44]	0.228084;0.159874;-1.496495;1.522195;free fall
[20210415 07:25:44]	-4.589049;5.676115;5.245577;8.988533;last second
[20210415 07:25:44]	-2.625804;6.231569;4.345357;8.037999;last second
[20210415 07:25:44]	-5.029583;6.863638;4.249589;9.511322;last second
[20210415 07:25:44]	-11.015086;11.326430;5.695687;16.794672;last second
[20210415 07:25:44]	-3.880366;6.949830;4.297473;9.045753;last second
[20210415 07:25:44]	-1.696854;9.334455;2.851376;9.906649;last second
[20210415 07:25:44]	-5.661652;9.382339;-0.749504;10.983822;last second
[20210415 07:25:44]	-2.798187;9.774988;-0.318547;10.172596;last second
[20210415 07:25:44]	-4.617780;8.558733;-2.061526;9.941111;last second
[20210415 07:25:44]	-2.970569;6.528450;-2.272216;7.523823;last second
[20210415 07:25:44]	0.228084;0.159874;-1.496495;1.522195;free fall
[20210415 07:25:44]	-3.171682;10.493248;-3.450163;11.492234;possible fall detected
[20210415 07:25:44]	-3.171682;10.493248;-3.450163;11.492234;possible fall detected
[20210415 07:25:44]	-14.759618;14.381432;-0.797388;20.622990;shock T_DURATION: 409
[20210415 07:25:44]	-14.759618;14.381432;-0.797388;20.622990;shock T_DURATION: 245
[20210415 07:25:44]	-8.237812;3.751176;1.328663;9.148673;stasis
[20210415 07:25:44]	-8.237812;3.751176;1.328663;9.148673;stasis
[20210415 07:25:44]	-4.167670;2.305079;3.502599;5.911942;stasis
[20210415 07:25:44]	-4.167670;2.305079;3.502599;5.911942;stasis
[20210415 07:25:44]	-1.792622;7.016868;5.197693;8.914367;stasis
[20210415 07:25:44]	-1.792622;7.016868;5.197693;8.914367;stasis
[20210415 07:25:45]	-3.602638;13.845131;3.809056;14.804579;stasis
[20210415 07:25:45]	-3.602638;13.845131;3.809056;14.804579;stasis
[20210415 07:25:45]	-10.794820;3.406411;18.260456;21.484321;stasis
[20210415 07:25:45]	-10.794820;3.406411;18.260456;21.484321;stasis
[20210415 07:25:45]	0.381313;5.953842;3.540906;6.937697;stasis
[20210415 07:25:45]	0.381313;5.953842;3.540906;6.937697;stasis
[20210415 07:25:45]	-9.023110;14.438892;3.684558;17.420508;stasis
