x;y;z;a
8.241;5.356;-0.348;9.835
6.383;7.176;2.946;10.045
3.05;5.461;1.06;6.344
12.818;2.684;7.505;15.094
18.239;5.978;10.349;21.806
7.743;2.885;1.069;8.332
7.666;3.833;4.316;9.596
9.773;-3.445;-0.683;10.385
7.417;5.433;2.717;9.587
6.814;8.105;1.443;10.686
10.798;0.328;6.614;12.667
7.886;1.899;2.63;8.528
9.601;2.205;2.831;10.25
5.358;7.07;2.132;9.124
7.925;3.163;2.362;8.854
9.122;0.376;3.617;9.82
8.509;2.512;1.97;9.088
6.507;5.749;1.395;8.794
6.929;9.359;0.734;11.668
8.298;3.259;0.418;8.925
9.313;0.213;4.45;10.324
7.637;5.346;-0.549;9.339
7.877;2.962;2.094;8.672
7.273;3.556;2.391;8.442
8.518;2.464;2.803;9.3
