x;y;z;a
-3.184;8.468;3.004;9.533
-3.567;-1.52;1.06;4.02
-4.113;7.654;6.241;10.698
-5.646;9.101;3.329;11.215
-3.539;8.124;4.057;9.746
-3.242;7.176;4.938;9.294
-3.587;7.089;4.009;8.899
-3.558;7.788;5.254;10.046
-5.866;6.476;1.615;8.886
-3.328;7.425;6.097;10.167
-4.18;6.543;3.636;8.574
-4.602;7.233;4.565;9.712
-4.027;4.303;2.056;6.241
-6.383;10.106;5.618;13.208
-3.778;2.09;1.797;4.677
-6.383;9.369;2.717;11.657
-1.633;6.381;6.71;9.402
-3.931;6.113;1.644;7.451
-4.563;10.029;5.35;12.249
-8.998;12.826;5.791;16.703
-2.169;1.573;3.885;4.719
-5.263;6.524;1.807;8.575
-3.989;6.314;3.684;8.327
-6.373;8.947;5.178;12.144
-2.208;5.241;3.234;6.542
