x;y;z;a
7.475;-7.946;-8.287;13.7
29.425;4.733;-5.232;30.259
7.398;5.413;0.207;9.169
11.363;-2.612;3.54;12.185
11.037;1.037;0.887;11.121
6.517;4.322;-2.484;8.205
6.517;3.058;1.376;7.329
13.757;2.1;0.83;13.941
5.262;2.081;-0.856;5.723
8.03;2.598;1.251;8.532
8.202;2.157;-0.118;8.482
9.179;3.776;-1.373;10.02
8.375;1.008;-2.465;8.788
7.484;2.052;-1.085;7.836
10.692;1.889;-1.114;10.915
7.944;2.378;2.353;8.619
4.218;7.319;2.219;8.734
4.391;2.607;-0.271;5.114
2.476;-1.539;1.586;3.319
5.856;7.951;1.175;9.945
9.275;6.496;3.559;11.87
7.618;6.304;3.195;10.392
6.708;4.121;1.586;8.031
7.953;0.922;3.885;8.899
3.874;3.785;8.281;9.895
