x;y;z;a
1.039;-3.809;8.759;9.608
1.336;-2.516;9.459;9.878
1.001;-0.754;9.506;9.589
1.757;-1.961;9.899;10.243
-1.03;5.595;6.451;8.602
-2.648;8.66;5.973;10.848
1.096;2.234;9.89;10.198
1.001;0.357;9.679;9.737
0.943;0.587;9.516;9.581
0.8;0.654;9.775;9.829
0.551;0.615;9.66;9.695
0.426;0.596;9.842;9.869
0.579;0.462;9.775;9.803
0.484;0.424;9.727;9.748
0.464;0.319;9.688;9.705
0.541;0.338;9.65;9.671
0.713;0.223;9.746;9.775
0.905;0.223;9.698;9.743
0.713;0.386;9.861;9.894
0.713;0.137;9.688;9.716
0.474;0.587;9.708;9.737
0.33;0.347;9.947;9.959
1.106;0.079;9.755;9.818
0.742;0.453;9.564;9.603
0.388;0.261;9.746;9.757
