x;y;z;a
14.561;6.505;-8.603;18.121
0.273;4.312;13.376;14.056
-9.907;3.766;-1.641;10.725
-12.579;12.232;-1.402;17.602
0.771;-1.884;-6.429;6.744
10.558;-8.827;5.666;14.883
34.587;14.167;-23.189;43.985
7.839;26.09;-7.042;28.137
7.637;13.573;-9.494;18.24
9.773;-12.342;3.665;16.164
9.783;0.884;-9.475;13.647
11.028;23.437;2.812;26.054
-10.635;16.704;-1.133;19.835
14.293;10.01;-9.197;19.725
0.024;3.948;-5.299;6.608
3.548;4.101;-2.187;5.847
-4.41;9.445;-6.152;12.104
-3.654;-0.773;-1.449;4.006
2.859;14.329;0.351;14.616
-3.558;8.334;-2.043;9.289
7.695;9.225;9.621;15.391
4.784;7.712;3.416;9.696
5.588;0.213;7.639;9.467
7.551;0.347;3.224;8.218
6.459;3.757;6.231;9.73
