x;y;z;a
0.665;5.854;3.396;6.801
-0.666;-1.156;-0.061;1.336
-3.893;24.088;-8.689;25.902
-1.154;7.271;-2.704;7.843
-0.647;2.521;-1.306;2.912
-1.978;9.761;1.682;10.101
-1.834;9.522;1.203;9.771
-4.161;11.6;-7.387;14.368
12.215;23.293;-9.877;28.095
-6.967;-2.928;5.858;9.562
2.811;1.42;1.97;3.714
13.901;6.86;-3.355;15.86
8.691;5.595;-1.258;10.413
8.586;4.417;0.14;9.656
16.065;-4.135;2.228;16.737
8.068;0.692;-2.761;8.556
7.666;-0.85;-3.595;8.51
9.668;2.387;0.562;9.974
6.172;0.711;0.753;6.258
9.38;-0.352;1.424;9.494
10.012;3.814;-0.319;10.719
7.781;1.142;-0.741;7.899
7.819;0.376;-0.482;7.843
7.858;2.023;3.033;8.662
7.072;2.646;3.358;8.264
