x;y;z;a
3.778;8.468;-0.118;9.274
7.743;11.734;1.318;14.120
4.151;8.133;-0.166;9.133
5.109;7.070;1.290;8.818
7.695;3.086;3.847;9.140
7.005;4.753;3.119;9.022
1.834;6.247;2.161;6.860
1.307;8.995;4.191;10.009
2.590;11.792;4.450;12.867
0.148;8.650;5.034;10.010
2.456;3.249;8.692;9.599
5.320;-0.639;6.710;8.587
4.161;8.315;4.211;10.207
5.195;6.381;3.588;8.977
7.858;5.385;1.788;9.692
7.561;4.484;1.060;8.854
10.357;2.224;1.184;10.659
8.614;2.445;0.782;8.988
0.723;0.778;0.112;1.068
2.734;12.184;-1.938;12.637
0.167;6.754;11.393;13.246
-6.833;-3.368;15.933;17.660
7.982;-6.558;14.965;18.184
2.159;-8.004;8.673;11.998
2.399;-4.058;5.829;7.497
5.904;-3.838;9.200;11.586
1.661;-9.622;5.934;11.426
-3.558;-0.045;9.612;10.249
-2.265;-3.962;7.783;9.022
4.994;-1.118;16.651;17.420
0.244;-8.004;8.798;11.896
-6.498;-3.627;5.762;9.412
-7.168;-8.080;5.829;12.274
-4.477;1.429;-2.034;5.121
3.979;1.583;9.765;10.663
-5.540;5.442;12.849;15.013
-7.216;9.800;-0.396;12.176
23.851;3.757;7.792;25.371
-7.197;4.868;1.749;8.863
0.407;10.077;1.797;10.244
-1.528;7.415;4.220;8.667
0.148;8.813;3.693;9.557
-0.168;4.513;6.566;7.970
3.088;3.220;6.145;7.594
2.418;12.012;-1.344;12.326
-1.633;3.728;6.183;7.403
-2.955;8.114;4.498;9.736
4.784;7.530;10.052;13.440
-3.002;5.998;5.226;8.503
-0.120;8.191;2.439;8.547
12.780;31.309;-12.444;36.034
5.042;2.023;-5.146;7.483
3.653;-2.803;-11.160;12.073
6.584;2.205;-5.194;8.671
19.953;13.353;-4.284;24.388
12.052;9.148;-7.081;16.706
6.402;4.283;-6.094;9.822
8.289;9.455;0.274;12.577
5.033;1.975;1.586;5.634
6.526;6.151;-3.844;9.757
4.448;4.877;-7.368;9.892
6.526;4.484;-5.357;9.560
6.526;0.989;-3.365;7.409
3.041;6.697;-6.439;9.775
6.029;6.601;-5.539;10.516
6.795;6.295;-4.753;10.411
5.492;7.817;-2.905;9.986
5.214;6.936;-2.292;8.975
5.358;7.999;-1.727;9.782
5.990;7.300;-1.296;9.532
6.038;7.894;-0.233;9.941
5.531;7.482;-1.095;9.368
6.172;4.973;-2.541;8.324
8.796;7.808;-0.779;11.787
6.479;11.064;-5.385;13.906
7.216;4.293;-4.552;9.551
15.739;19.510;-0.683;25.077
0.244;4.753;4.325;6.431
-0.407;9.072;4.986;10.360
1.393;2.550;9.018;9.475
1.096;7.022;6.270;9.477
3.242;5.911;8.329;10.715
1.154;5.155;6.116;8.082
-2.868;7.616;1.510;8.277
-1.920;8.899;2.381;9.410
2.083;9.800;-0.453;10.029
8.442;6.994;1.443;11.057
4.123;8.267;1.223;9.319
4.793;10.393;1.251;11.514
2.974;7.769;-1.373;8.431
