x;y;z;a;index
0.406;3.180;9.329;9.864;9.734
0.023;2.991;9.353;9.819;9.290
-0.085;3.228;9.329;9.872;9.115
0.109;3.159;9.020;9.558;9.108
0.104;2.931;8.895;9.366;6.985
0.301;1.945;6.163;6.470;7.282
7.716;2.618;16.090;18.035;14.226
23.037;8.723;8.764;26.145;22.908
25.907;-1.979;1.322;26.017;26.311
26.307;-4.615;1.327;26.742;26.296
24.763;-0.330;1.897;24.838;26.662
22.872;1.672;6.444;23.821;27.154
1.268;2.019;6.116;6.564;34.583
-0.255;-0.045;10.461;10.464;34.897
-0.286;0.080;9.817;9.822;34.901
-0.327;0.032;9.714;9.720;34.886
-0.288;0.075;9.836;9.841;34.881
-0.295;0.070;9.796;9.800;34.876
-0.286;0.073;9.810;9.814;34.872
-0.279;0.080;9.803;9.807;34.872
-0.291;0.092;9.800;9.805;34.869
-0.255;0.070;9.807;9.811;34.868
-0.298;0.089;9.812;9.817;34.867
-0.264;0.082;9.803;9.807;34.866
-0.281;0.073;9.784;9.788;34.744
-0.279;0.063;9.793;9.797;32.452
-0.334;0.097;9.817;9.823;26.972
-0.272;0.082;9.827;9.831;23.438
-0.295;0.097;9.800;9.805;23.286
-0.279;0.075;9.810;9.814;22.829
-0.279;0.051;9.800;9.804;22.201
-0.370;0.133;9.855;9.863;5.096
-0.274;0.087;9.815;9.819;0.718
-0.267;0.075;9.793;9.797;0.291
-0.269;0.075;9.803;9.807;0.265
-0.264;0.077;9.798;9.802;0.229
-0.276;0.085;9.796;9.800;0.225
-0.267;0.070;9.786;9.790;0.225
-0.272;0.073;9.805;9.809;0.226
-0.281;0.070;9.798;9.802;0.226
-0.286;0.073;9.793;9.798;0.222
-0.279;0.080;9.796;9.800;0.217
-0.267;0.073;9.793;9.797;0.214
-0.269;0.089;9.796;9.800;0.213
-0.274;0.070;9.788;9.792;0.214
-0.286;0.106;9.563;9.568;0.305
