x;y;z;a;index
-0.352;-2.718;11.345;11.672;20.475
-0.026;-2.995;11.774;12.149;20.330
0.223;-2.430;10.842;11.114;20.192
0.596;-1.705;11.094;11.240;19.677
0.781;-2.162;11.587;11.813;17.530
0.872;-3.034;12.358;12.755;13.046
2.622;-3.649;6.085;7.564;12.068
0.161;0.924;11.939;11.976;13.619
0.465;-0.479;11.290;11.310;12.482
0.668;-0.951;9.267;9.340;11.710
1.406;-1.571;7.361;7.657;11.848
0.419;-0.977;8.578;8.643;11.858
-1.283;0.323;9.416;9.508;12.015
-1.341;1.097;8.939;9.105;11.981
-0.898;1.377;9.262;9.407;11.909
-0.438;1.808;9.947;10.119;11.850
-0.543;1.906;9.827;10.025;11.650
-1.032;1.614;9.875;10.059;11.610
-0.668;1.733;10.268;10.435;11.568
-0.474;2.164;9.705;9.955;11.445
-0.527;2.524;8.994;9.356;11.457
-0.886;2.229;8.822;9.142;11.413
-1.171;2.042;9.061;9.362;11.389
-1.092;2.128;9.418;9.717;11.374
-1.034;2.284;8.870;9.217;11.328
-0.931;2.193;8.652;8.974;9.252
-0.960;2.224;9.150;9.465;4.961
-1.111;2.401;9.990;10.335;4.784
-0.874;2.198;10.328;10.595;4.330
-0.792;2.064;11.106;11.324;3.849
-0.864;2.023;10.850;11.070;3.476
-0.970;2.162;9.487;9.779;2.946
-0.754;2.404;8.309;8.683;3.056
-0.826;2.421;8.578;8.951;3.007
-0.807;2.334;9.052;9.382;2.899
-0.733;2.504;9.459;9.812;2.928
-0.522;2.722;9.301;9.705;2.892
-0.452;2.844;8.853;9.310;2.878
-0.405;2.816;8.403;8.871;2.819
-0.608;2.820;8.178;8.672;2.721
-0.613;2.777;8.647;9.103;2.716
-0.543;2.504;9.363;9.707;2.792
-0.541;2.320;9.842;10.126;2.814
-0.507;2.239;10.110;10.367;2.770
-0.373;2.164;10.220;10.453;2.764
-0.323;2.181;10.151;10.387;2.720
-0.395;2.169;9.882;10.125;2.591
-0.495;2.116;9.897;10.133;2.553
