x;y;z;a;index
-11.598;0.230;-9.997;15.314;21.750
-11.859;1.164;-6.509;13.577;21.523
-8.121;2.966;-1.493;8.774;21.999
-3.481;8.445;0.159;9.135;22.153
-3.088;10.200;1.241;10.729;21.235
-2.631;11.413;2.123;11.904;20.696
-3.979;9.915;1.143;10.744;20.730
-5.246;7.116;-1.301;8.936;20.343
-7.448;4.326;-2.843;9.071;19.115
-9.905;0.448;-4.965;11.089;18.915
-15.364;-3.477;-6.959;17.221;18.778
-15.567;-4.377;-6.810;17.547;18.676
-10.626;-0.168;-9.782;14.444;19.983
-10.666;1.484;-8.094;13.472;20.003
-8.950;2.370;-2.391;9.562;20.411
-4.116;7.513;0.561;8.585;21.539
-3.098;10.075;2.508;10.835;21.331
-2.174;11.856;2.752;12.364;20.824
-4.386;9.594;0.518;10.562;21.118
-5.602;6.867;-1.802;9.044;20.587
-6.958;4.693;-2.702;8.817;20.447
-9.431;1.358;-4.244;10.430;19.883
-13.496;-2.322;-6.418;15.124;19.387
-14.603;-3.453;-6.964;16.542;19.345
-13.980;-2.576;-8.024;16.324;19.341
-11.442;0.259;-8.381;14.186;19.587
-7.290;3.050;-4.153;8.928;20.276
-4.671;7.374;-0.624;8.752;20.836
-5.239;8.959;0.478;10.389;20.313
-3.931;10.305;2.214;11.249;19.234
-3.749;10.334;2.561;11.287;19.216
-5.049;7.676;0.229;9.191;18.234
-7.087;4.875;-2.841;9.059;18.663
-9.802;1.630;-5.537;11.375;18.363
-12.338;-0.397;-6.614;14.004;17.041
-12.867;-2.684;-5.903;14.408;16.882
-12.697;-2.100;-5.975;14.189;16.772
-12.168;-0.194;-5.281;13.265;16.453
-10.051;2.521;-3.698;11.002;16.454
-6.385;6.364;-0.554;9.032;17.363
-4.764;8.615;0.849;9.881;17.073
-4.784;10.279;1.083;11.389;16.110
-4.743;9.644;1.014;10.795;16.036
-5.598;8.164;1.225;9.975;16.057
-7.652;5.507;-1.340;9.522;16.158
-8.976;4.032;-2.338;10.114;14.936
-10.456;0.615;-4.253;11.304;14.234
-12.560;-2.416;-4.347;13.509;14.567
-13.334;-3.086;-4.538;14.419;14.379
-12.146;-1.762;-5.235;13.343;14.500
-11.437;0.541;-4.773;12.405;14.215
-8.794;4.032;-1.696;9.822;14.467
-5.432;8.406;0.619;10.028;14.830
-3.847;11.047;2.391;11.940;14.861
-4.298;10.841;2.776;11.988;14.670
-6.129;8.557;2.910;10.921;14.948
-6.634;5.844;0.083;8.842;15.318
-8.751;3.603;-1.845;9.642;15.281
-9.745;2.181;-4.299;10.872;14.299
-10.812;0.764;-4.273;11.651;14.069
-10.465;-0.034;-4.500;11.392;13.997
-10.824;-0.058;-5.403;12.098;14.017
-10.774;0.304;-8.070;13.465;14.169
-9.723;1.185;-9.631;13.737;13.682
-8.538;1.913;-8.853;12.447;13.595
-8.686;2.428;-7.840;11.950;12.985
-9.180;2.564;-5.922;11.221;12.606
-8.749;2.488;-3.801;9.858;12.748
-8.322;2.705;-2.245;9.034;12.709
-8.509;3.230;-1.579;9.237;12.500
-8.598;3.704;-1.177;9.435;11.314
-8.176;3.373;0.013;8.845;9.691
-8.978;3.278;-0.032;9.558;9.053
-9.476;3.103;-0.425;9.981;9.055
-8.186;3.723;1.009;9.049;8.804
-7.788;4.238;2.515;9.217;8.037
-7.705;4.276;2.633;9.197;7.169
-8.009;4.259;2.230;9.341;6.528
-8.799;4.001;1.378;9.763;6.394
-8.492;4.001;1.186;9.462;6.341
-6.749;4.370;1.629;8.204;6.529
-6.194;4.116;2.692;7.909;6.073
-5.126;3.936;3.466;7.334;5.860
-3.910;4.516;4.364;7.397;5.867
-3.273;5.272;5.841;8.522;6.022
-2.157;5.706;7.069;9.337;5.939
-1.360;6.263;8.283;10.473;5.744
-1.106;6.555;9.360;11.481;5.627
-0.876;6.843;9.693;11.898;5.581
-0.163;7.252;9.705;12.117;5.607
0.860;7.858;9.073;12.034;5.616
1.176;8.076;8.719;11.942;5.582
0.965;7.817;8.156;11.339;5.582
0.501;7.551;7.874;10.921;5.236
0.642;7.595;7.586;10.754;4.983
0.872;7.937;7.421;10.901;5.000
0.991;8.227;7.268;11.022;4.987
0.943;8.148;7.076;10.833;4.848
0.759;8.047;6.909;10.633;4.842
0.527;7.851;6.624;10.285;4.499
0.426;7.932;6.396;10.199;4.337
0.371;7.992;6.073;10.045;4.141
0.362;8.026;5.810;9.914;3.821
0.333;8.004;5.712;9.839;3.384
0.340;8.117;5.513;9.818;2.926
0.302;8.222;5.247;9.758;2.495
0.242;8.227;5.197;9.734;2.218
0.237;8.236;5.204;9.745;2.162
0.264;8.303;5.151;9.775;2.001
0.321;8.411;5.099;9.841;1.487
0.307;8.418;5.139;9.868;1.392
0.266;8.382;5.297;9.919;1.241
0.323;8.413;5.259;9.927;1.086
0.314;8.461;5.065;9.866;1.056
0.204;8.294;4.941;9.656;0.986
0.218;8.291;5.039;9.705;0.928
0.132;8.306;4.965;9.677;0.910
0.125;8.258;4.828;9.566;0.882
0.074;8.287;4.766;9.560;0.782
0.019;8.332;4.761;9.596;0.740
0.386;8.485;5.032;9.872;0.817
0.352;8.662;5.072;10.044;0.794
0.297;8.473;5.048;9.868;0.812
0.192;8.327;4.974;9.702;0.803
0.199;8.394;5.072;9.810;0.759
