x;y;z;a;index
-0.016;-0.495;9.841;9.853;0.000
-0.016;-0.476;9.803;9.814;0.000
-0.016;-0.514;9.803;9.816;0.000
-0.036;-0.495;9.822;9.834;0.000
-0.016;-0.495;9.803;9.815;0.000
-0.016;-0.495;9.822;9.834;0.000
-0.016;-0.514;9.841;9.854;0.000
-0.016;-0.476;9.822;9.833;0.000
0.003;-0.495;9.822;9.834;0.000
0.003;-0.514;9.822;9.835;0.000
-0.016;-0.514;9.822;9.835;0.000
0.003;-0.514;9.803;9.816;0.000
0.003;-0.495;9.841;9.853;0.000
0.003;-0.495;9.803;9.815;0.000
0.022;-0.476;9.822;9.833;0.000
0.003;-0.514;9.841;9.854;0.000
0.022;-0.495;9.822;9.834;0.000
0.022;-0.514;9.822;9.835;0.000
0.022;-0.495;9.803;9.815;0.000
0.022;-0.495;9.841;9.853;0.142
0.022;-0.514;9.841;9.854;0.137
0.003;-0.476;9.841;9.852;0.139
0.041;-0.514;9.841;9.854;0.145
0.041;-0.495;9.822;9.834;0.145
0.079;0.003;9.879;9.879;0.523
0.615;4.408;8.845;9.901;4.586
-2.641;2.167;9.439;10.038;6.083
1.955;3.087;8.941;9.659;7.696
2.224;3.968;8.175;9.355;7.788
2.473;1.516;9.860;10.278;8.341
-0.898;3.317;8.117;8.814;9.339
-1.913;1.440;10.741;11.004;9.932
1.611;0.022;9.860;9.991;10.670
1.534;0.195;9.190;9.319;10.693
2.377;0.003;9.630;9.919;10.737
2.511;-0.495;9.611;9.946;10.749
2.837;-0.514;9.381;9.814;10.757
2.951;-0.915;9.496;9.986;10.765
2.760;-0.571;9.496;9.905;10.772
2.741;-0.801;9.458;9.879;10.775
2.741;-0.820;9.458;9.881;10.775
2.913;-0.647;9.132;9.607;10.782
2.837;-1.030;9.458;9.928;10.794
3.086;-1.088;9.458;10.008;10.786
1.726;-0.189;9.898;10.049;9.921
3.488;-0.284;9.400;10.030;9.263
2.262;-0.533;9.649;9.925;8.076
3.449;-0.035;9.266;9.887;8.098
