x;y;z;a;index
0.672;4.394;8.730;9.797;0.000
0.957;4.069;9.259;10.159;0.000
1.290;5.086;8.541;10.024;0.000
0.432;5.110;10.509;11.694;0.000
1.000;3.841;11.302;11.978;0.000
5.434;3.197;9.324;11.255;0.000
4.053;1.902;9.032;10.080;0.000
5.741;-5.180;4.933;9.172;0.000
8.954;-10.448;3.104;14.105;0.000
9.488;1.964;4.870;10.844;0.000
9.547;-3.725;0.400;10.256;0.000
8.353;-7.474;-5.564;12.513;0.000
10.270;2.469;-0.299;10.567;0.000
8.384;-2.719;1.858;9.007;0.000
10.488;-4.112;-1.371;11.349;0.000
9.164;-4.867;-2.729;10.729;0.000
10.026;-7.606;1.128;12.635;0.000
11.992;1.078;1.866;12.184;0.000
5.231;-6.047;-1.726;8.179;0.000
8.118;-3.102;8.086;11.870;30.349
9.732;-6.866;6.609;13.621;30.652
8.436;-5.841;3.300;10.779;30.847
9.131;-3.399;2.469;10.051;30.888
10.824;-3.705;1.231;11.506;30.919
6.622;-1.737;0.944;6.911;30.881
5.468;-3.052;0.769;6.309;30.871
10.670;-1.869;2.333;11.081;30.235
10.687;-5.712;0.494;12.128;29.847
6.610;-3.406;-0.811;7.480;27.515
10.649;-2.527;0.197;10.946;26.885
12.715;-4.230;0.994;13.437;26.068
9.373;-3.306;2.787;10.322;23.760
8.736;-4.668;1.933;10.092;23.073
6.021;-3.241;0.451;6.852;22.960
7.689;-4.417;0.376;8.876;22.961
9.306;-5.353;1.765;10.879;22.572
12.114;-0.002;6.573;13.782;22.120
8.374;-4.486;0.051;9.500;21.367
9.399;-4.045;0.032;10.233;18.561
6.284;-2.336;-0.294;6.711;18.393
9.521;-2.492;0.056;9.842;18.310
11.190;-1.819;1.009;11.382;18.228
13.510;-1.668;1.535;13.699;18.260
8.709;-2.614;1.114;9.161;18.329
8.154;-10.424;4.066;13.845;20.072
5.707;-1.912;1.025;6.106;21.439
8.499;-2.015;1.463;8.856;21.201
12.081;-2.106;2.402;12.496;20.966
12.993;-6.808;0.645;14.683;21.154
8.290;-7.180;-0.311;10.971;21.514
7.057;-3.284;-0.770;7.822;21.553
7.282;-2.324;-0.047;7.644;21.518
11.386;-1.479;0.956;11.522;21.679
11.650;-1.007;0.846;11.724;21.590
12.801;-2.003;1.152;13.008;21.520
7.814;-8.312;2.998;11.796;21.715
4.788;-2.808;0.539;5.576;20.986
8.951;-2.705;1.497;9.470;21.388
10.958;-1.735;2.021;11.277;21.212
14.111;-2.470;1.959;14.459;21.209
8.171;-4.673;0.350;9.419;22.100
7.847;-4.280;-0.071;8.939;21.981
6.629;-2.128;-0.031;6.962;21.567
9.772;-2.295;0.290;10.043;20.128
11.616;-1.421;0.877;11.735;17.944
14.954;-2.144;1.844;15.219;18.071
7.948;-4.223;3.712;9.735;19.229
5.144;-5.056;2.098;7.512;18.838
8.851;-1.644;2.072;9.237;18.897
9.092;-1.749;1.473;9.376;18.455
14.034;-0.813;3.149;14.406;19.163
8.192;-4.132;0.427;9.185;20.030
8.439;-4.256;0.034;9.451;20.028
6.911;-2.741;-0.050;7.435;20.084
9.179;-2.013;0.015;9.397;18.465
11.039;-1.093;0.922;11.131;17.337
14.475;-1.484;1.645;14.643;17.170
7.026;-3.045;2.634;8.098;18.667
7.589;-7.816;1.949;11.067;19.014
7.455;-2.343;1.224;7.910;18.689
8.855;-2.029;1.454;9.201;18.734
12.035;-0.830;2.179;12.259;18.892
12.976;-4.867;1.090;13.901;19.112
9.430;-5.092;0.661;10.737;19.328
7.268;-2.889;-0.189;7.823;19.267
7.476;-1.486;0.513;7.640;17.800
10.740;-1.515;0.956;10.888;17.791
12.581;-1.407;1.327;12.729;17.167
10.019;-4.376;3.939;11.621;17.790
7.024;-5.281;0.484;8.801;17.609
6.476;-4.366;1.310;7.919;16.105
9.004;-1.249;1.593;9.229;16.593
9.935;-0.739;1.947;10.151;16.490
11.578;-1.898;3.441;12.226;16.508
9.368;-3.320;1.243;10.016;16.707
9.954;-3.248;-0.287;10.475;16.412
8.566;-2.997;0.082;9.075;14.580
8.887;-2.171;0.147;9.149;13.777
9.488;-1.436;0.262;9.599;12.658
10.955;-1.704;0.793;11.115;12.674
