x;y;z;a;index
0.003;-0.012;9.784;9.784;0.104
-0.007;-0.010;9.796;9.796;0.103
-0.005;-0.000;9.808;9.808;0.100
-0.005;-0.036;9.799;9.799;0.103
0.007;-0.017;9.799;9.799;0.100
0.012;-0.019;9.796;9.796;0.099
-0.007;-0.017;9.803;9.803;0.101
0.000;-0.014;9.796;9.796;0.101
0.019;-0.019;9.799;9.799;0.093
0.014;-0.012;9.801;9.801;0.091
0.000;-0.012;9.799;9.799;0.090
0.003;-0.019;9.782;9.782;0.090
0.000;-0.012;9.803;9.803;0.091
-0.014;-0.019;9.799;9.799;0.089
0.007;-0.010;9.806;9.806;0.091
0.014;-0.031;9.791;9.791;0.092
0.005;-0.026;9.799;9.799;0.089
-0.007;-0.007;9.791;9.791;0.088
0.014;-0.014;9.803;9.803;0.089
-0.007;-0.019;9.796;9.796;0.090
-0.005;-0.022;9.799;9.799;0.088
0.012;-0.000;9.787;9.787;0.092
0.000;0.005;9.794;9.794;0.085
0.000;0.014;9.779;9.779;0.084
0.007;-0.005;9.787;9.787;0.087
0.012;-0.000;9.801;9.801;0.086
-0.012;-0.014;9.799;9.799;0.090
0.005;-0.017;9.808;9.808;0.089
0.005;0.002;9.799;9.799;0.092
0.012;-0.005;9.787;9.787;0.092
0.005;-0.019;9.779;9.779;0.092
0.007;-0.002;9.784;9.784;0.090
0.017;-0.007;9.801;9.801;0.091
0.014;-0.019;9.799;9.799;0.088
-0.002;-0.005;9.784;9.784;0.088
0.003;-0.007;9.811;9.811;0.091
0.010;-0.010;9.806;9.806;0.089
0.010;-0.002;9.784;9.784;0.088
-0.002;-0.005;9.796;9.796;0.087
0.005;-0.017;9.789;9.789;0.088
0.000;-0.007;9.791;9.791;0.083
0.005;-0.014;9.789;9.789;0.083
0.010;-0.010;9.787;9.787;0.081
0.014;-0.017;9.772;9.772;0.080
0.017;-0.017;9.796;9.796;0.082
0.000;-0.002;9.803;9.803;0.080
-0.002;-0.007;9.799;9.799;0.078
0.005;0.005;9.799;9.799;0.077
0.007;-0.005;9.806;9.806;0.076
-0.007;-0.002;9.789;9.789;0.077
0.000;-0.007;9.813;9.813;0.079
-0.007;-0.012;9.782;9.782;0.083
0.017;-0.007;9.811;9.811;0.091
0.003;-0.010;9.791;9.791;0.090
0.005;-0.017;9.803;9.803;0.087
