x;y;z;a;index
2.032;3.248;9.178;9.945;0.000
0.928;3.688;8.811;9.597;0.000
0.358;3.762;8.632;9.423;0.000
1.134;3.259;9.204;9.830;0.000
0.751;3.525;9.350;10.021;0.000
1.203;3.082;9.372;9.939;0.000
0.976;3.231;9.314;9.907;0.000
0.464;2.862;8.924;9.383;0.000
-0.671;1.466;7.310;7.486;0.000
3.169;-1.148;8.184;8.851;0.000
8.286;2.548;20.795;22.529;0.000
4.065;-3.509;22.104;22.747;0.000
14.539;-4.467;0.762;15.229;0.000
11.247;1.107;0.704;11.324;0.000
14.561;-6.966;-0.313;16.145;0.000
-44.439;-74.167;21.324;89.052;0.000
7.254;-4.433;11.280;14.125;0.000
-0.379;-1.670;9.776;9.925;0.000
0.370;-2.298;9.365;9.649;0.000
0.511;-2.178;9.527;9.786;130.931
0.511;-2.233;9.570;9.841;130.925
0.497;-2.219;9.556;9.823;130.924
0.523;-2.214;9.549;9.816;130.919
0.511;-2.211;9.525;9.792;130.918
0.514;-2.216;9.520;9.788;130.917
0.523;-2.235;9.549;9.821;130.917
0.466;-2.195;9.415;9.678;130.915
0.533;-2.209;9.554;9.820;130.892
0.504;-2.223;9.568;9.836;130.807
0.487;-2.216;9.537;9.803;130.045
0.547;-2.195;9.551;9.815;129.828
0.490;-2.192;9.489;9.751;127.629
0.519;-2.187;9.515;9.777;127.465
0.495;-2.204;9.549;9.812;127.162
0.504;-2.214;9.518;9.785;87.779
0.504;-2.209;9.523;9.788;8.332
0.509;-2.214;9.535;9.801;1.122
0.492;-2.197;9.525;9.787;0.368
0.509;-2.207;9.556;9.821;0.276
0.516;-2.235;9.537;9.809;0.269
0.538;-2.199;9.549;9.814;0.272
0.507;-2.187;9.463;9.725;0.286
0.497;-2.183;9.525;9.784;0.291
0.543;-2.180;9.542;9.803;0.295
0.516;-2.204;9.573;9.837;0.297
0.507;-2.199;9.527;9.791;0.259
0.485;-2.176;9.609;9.864;0.226
0.435;-2.135;9.530;9.776;0.245
0.459;-2.075;9.542;9.775;0.251
0.385;-1.979;9.599;9.809;0.277
0.373;-1.912;9.570;9.767;0.274
0.420;-1.941;9.659;9.861;0.291
