x;y;z;a;index
8.564;-6.221;1.892;10.752;24.333
8.659;-3.961;-0.08;9.522;24.517
8.506;-4.689;3.156;10.212;24.74
7.165;5.826;1.528;9.36;26.964
5.058;2.34;8.251;9.956;28.087
8.181;-3.08;4.708;9.928;28.992
8.353;-5.647;2.064;10.291;26.894
8.659;-6.451;-2.532;11.091;27.23
8.066;-7.773;0.896;11.237;27.381
9.119;1.401;2.677;9.606;28.796
17.988;26.57;15.472;35.622;41.224
8.372;-3.31;4.708;10.159;52.736
6.878;-3.137;5.474;9.333;52.32
6.591;-3.482;7.581;10.632;51.767
5.576;-2.352;9.86;11.569;51.094
5.537;-5.378;8.519;11.496;51.198
6.878;-6.087;1.624;9.327;51.448
6.572;-9.592;2.735;11.945;50.238
4.35;-7.121;4.976;9.715;49.86
4.311;-7.294;6.221;10.511;49.702
4.503;-7.677;6.221;10.859;49.614
5.403;-6.872;5.455;10.304;49.523
5.691;-5.991;5.148;9.735;48.358
-0.898;-8.903;1.892;9.146;48.365
-0.61;-9.497;2.811;9.923;47.841
-0.783;-9.937;2.62;10.306;47.701
-0.898;-9.88;2.352;10.196;47.473
-0.993;-9.535;2.409;9.885;47.328
-0.917;-9.841;2.371;10.164;46.385
0.806;-8.558;5.684;10.305;35.935
0.749;-8.501;5.742;10.286;13.791
0.825;-8.558;5.646;10.286;13.688
1.113;-8.635;5.953;10.547;13.524
0.902;-7.064;6.681;9.764;13.358
1.132;-7.734;6.834;10.382;12.962
0.902;-7.447;6.834;10.147;10.877
