x;y;z;a
0.081;0.826;1.539;1.748
7.532;4.887;0.236;8.982
10.673;2.684;2.410;11.266
10.577;2.196;-0.951;10.845
6.986;5.729;-2.704;9.431
4.927;2.263;0.303;5.430
11.573;1.956;-0.185;11.739
11.679;2.674;-0.176;11.982
7.982;2.483;2.535;8.735
14.561;2.809;-0.693;14.846
10.664;2.196;-2.426;11.154
6.459;1.640;-1.603;6.854
11.459;2.014;0.322;11.639
9.763;2.818;3.291;10.682
8.777;-2.650;-0.147;9.170
9.265;2.205;0.514;9.538
9.792;0.769;-0.214;9.825
7.159;2.560;-1.047;7.674
10.233;2.627;-1.018;10.613
6.220;-0.208;1.472;6.395
9.246;0.539;2.075;9.492
-13.939;-19.007;14.247;27.542
-3.500;-1.252;9.641;10.333
-3.117;-1.989;8.922;9.658
1.154;-2.114;6.289;6.734
-1.633;8.478;11.307;14.226
-0.359;4.647;8.951;10.092
3.740;5.375;8.903;11.052
4.142;-3.014;4.900;7.089
5.205;-4.211;8.970;11.193
5.531;-3.694;7.687;10.165
5.904;-4.681;6.270;9.802
5.885;-2.641;6.528;9.177
6.057;-4.288;9.152;11.783
-2.208;-1.980;10.560;10.968
0.024;11.523;2.037;11.702
-0.503;10.441;-1.210;10.523
-1.901;9.091;-0.233;9.291
-1.824;9.196;-0.827;9.412
-2.322;9.608;0.102;9.885
-1.834;9.541;0.514;9.729
-0.694;8.641;0.198;8.671
-0.953;10.010;3.981;10.815
-0.225;7.712;3.531;8.485
-1.949;9.828;6.088;11.724
-0.292;8.555;5.762;10.318
-2.332;-1.597;8.779;9.222
-0.273;0.414;0.744;0.894
-1.978;8.421;-3.575;9.360
-1.537;8.689;0.648;8.847
2.514;8.267;0.332;8.647
-0.474;7.185;0.456;7.215
1.412;9.503;1.146;9.675
1.096;8.986;0.092;9.053
1.001;9.158;0.523;9.227
1.412;8.717;0.341;8.838
1.470;8.804;0.303;8.931
1.163;9.014;0.160;9.090
1.441;9.005;0.274;9.123
1.116;8.880;-0.042;8.950
1.221;8.919;0.083;9.002
0.991;9.005;0.016;9.059
1.441;8.804;0.188;8.923
1.240;9.282;-0.003;9.365
1.470;9.101;0.121;9.219
1.192;8.909;0.054;8.989
1.470;9.024;0.006;9.143
1.125;8.928;-0.061;8.999
1.250;9.713;-0.147;9.795
2.188;8.622;0.112;8.896
1.365;8.526;0.006;8.634
2.476;8.344;0.169;8.705
1.968;8.852;-0.089;9.068
0.953;10.144;35.383;36.821
-4.228;1.056;9.114;10.102
-4.736;3.048;8.003;9.786
-3.855;2.416;8.482;9.625
