FallDetector: svm: 12,631, theta: -69,902, dsvm: 17,623, agsvm: -9,810, adgsvm: -13,688
FallDetector: svm: 5,478, theta: 51,172, dsvm: 10,886, agsvm: 3,115, adgsvm: 6,189
FallDetector: svm: 12,944, theta: 86,409, dsvm: 9,040, agsvm: 12,428, adgsvm: 8,680
FallDetector: svm: 10,030, theta: -88,181, dsvm: 3,960, agsvm: -9,828, adgsvm: -3,880
FallDetector: svm: 10,816, theta: -84,044, dsvm: 1,087, agsvm: -10,100, adgsvm: -1,015
FallDetector: svm: 9,912, theta: -89,044, dsvm: 1,278, agsvm: -9,807, adgsvm: -1,264
FallDetector: svm: 9,784, theta: -87,127, dsvm: 0,372, agsvm: -9,471, adgsvm: -0,360
FallDetector: svm: 9,857, theta: -87,480, dsvm: 0,096, agsvm: -9,581, adgsvm: -0,093
FallDetector: svm: 9,790, theta: -87,352, dsvm: 0,098, agsvm: -9,502, adgsvm: -0,095
FallDetector: svm: 9,825, theta: -87,361, dsvm: 0,042, agsvm: -9,537, adgsvm: -0,041
FallDetector: svm: 9,786, theta: -87,462, dsvm: 0,042, agsvm: -9,510, adgsvm: -0,041
FallDetector: svm: 9,802, theta: -87,466, dsvm: 0,027, agsvm: -9,527, adgsvm: -0,026
FallDetector: svm: 9,819, theta: -87,471, dsvm: 0,028, agsvm: -9,543, adgsvm: -0,027
FallDetector: svm: 9,821, theta: -87,471, dsvm: 0,020, agsvm: -9,545, adgsvm: -0,019
FallDetector: svm: 9,819, theta: -87,471, dsvm: 0,020, agsvm: -9,543, adgsvm: -0,019
FallDetector: svm: 11,002, theta: -87,044, dsvm: 1,411, agsvm: -10,640, adgsvm: -1,365
FallDetector: svm: 9,800, theta: -87,466, dsvm: 1,428, agsvm: -9,524, adgsvm: -1,388
FallDetector: svm: 9,837, theta: -87,475, dsvm: 0,038, agsvm: -9,561, adgsvm: -0,037
FallDetector: svm: 9,818, theta: -87,581, dsvm: 0,027, agsvm: -9,554, adgsvm: -0,026
FallDetector: svm: 9,797, theta: -87,465, dsvm: 0,033, agsvm: -9,521, adgsvm: -0,032
FallDetector: svm: 9,800, theta: -87,466, dsvm: 0,019, agsvm: -9,524, adgsvm: -0,018
FallDetector: svm: 20,184, theta: -64,081, dsvm: 17,650, agsvm: -14,371, adgsvm: -12,567
FallDetector: svm: 24,969, theta: 85,586, dsvm: 12,936, agsvm: 23,744, adgsvm: 12,301
FallDetector: svm: 3,943, theta: -32,495, dsvm: 24,511, agsvm: -1,423, adgsvm: -8,850
FallDetector: svm: 4,965, theta: 64,076, dsvm: 6,044, agsvm: 3,535, adgsvm: 4,303
FallDetector: svm: 23,942, theta: 53,965, dsvm: 23,239, agsvm: 14,356, adgsvm: 13,934
FallDetector: svm: 11,752, theta: -88,541, dsvm: 26,167, agsvm: -11,562, adgsvm: -25,742
FallDetector: svm: 4,521, theta: 53,521, dsvm: 9,027, agsvm: 2,688, adgsvm: 5,368
FallDetector: svm: 37,097, theta: 60,783, dsvm: 38,468, agsvm: 25,054, adgsvm: 25,980
FallDetector: svm: 6,491, theta: 17,981, dsvm: 36,370, agsvm: 1,297, adgsvm: 7,266
FallDetector: svm: 7,299, theta: -77,012, dsvm: 10,417, agsvm: -6,245, adgsvm: -8,914
FallDetector: svm: 34,892, theta: -87,212, dsvm: 31,426, agsvm: -33,811, adgsvm: -30,452
FallDetector: svm: 9,508, theta: 79,047, dsvm: 26,316, agsvm: 8,351, adgsvm: 23,113
FallDetector: svm: 15,853, theta: -44,864, dsvm: 15,665, agsvm: -7,903, adgsvm: -7,809
FallDetector: svm: 9,476, theta: -70,814, dsvm: 12,176, agsvm: -7,456, adgsvm: -9,580
FallDetector: svm: 23,053, theta: -68,475, dsvm: 24,263, agsvm: -17,539, adgsvm: -18,460
FallDetector: svm: 5,367, theta: -74,345, dsvm: 24,571, agsvm: -4,434, adgsvm: -20,297
FallDetector: svm: 8,644, theta: 78,585, dsvm: 4,821, agsvm: 7,547, adgsvm: 4,210
FallDetector: svm: 25,895, theta: 77,251, dsvm: 21,071, agsvm: 22,227, adgsvm: 18,086
FallDetector: svm: 5,590, theta: 77,870, dsvm: 22,877, agsvm: 4,837, adgsvm: 19,793
FallDetector: svm: 10,368, theta: 87,741, dsvm: 5,299, agsvm: 10,107, adgsvm: 5,166
FallDetector: svm: 23,057, theta: 89,509, dsvm: 23,549, agsvm: 22,931, adgsvm: 23,421
FallDetector: svm: 8,682, theta: 81,458, dsvm: 14,512, agsvm: 7,858, adgsvm: 13,134
FallDetector: svm: 9,192, theta: 89,952, dsvm: 7,923, agsvm: 9,187, adgsvm: 7,919
FallDetector: svm: 24,972, theta: -49,332, dsvm: 25,225, agsvm: -13,688, adgsvm: -13,827
FallDetector: svm: 6,851, theta: -50,060, dsvm: 26,488, agsvm: -3,811, adgsvm: -14,733
FallDetector: svm: 29,605, theta: -62,042, dsvm: 32,787, agsvm: -20,408, adgsvm: -22,602
FallDetector: svm: 4,418, theta: 19,558, dsvm: 30,578, agsvm: 0,960, adgsvm: 6,645
FallDetector: svm: 49,102, theta: -43,820, dsvm: 51,396, agsvm: -23,907, adgsvm: -25,024
FallDetector: svm: 4,016, theta: -20,295, dsvm: 45,506, agsvm: -0,906, adgsvm: -10,262
FallDetector: svm: 7,067, theta: -35,427, dsvm: 3,556, agsvm: -2,782, adgsvm: -1,400
FallDetector: svm: 42,014, theta: 44,616, dsvm: 43,907, agsvm: 20,827, adgsvm: 21,766
FallDetector: svm: 9,097, theta: -37,540, dsvm: 48,115, agsvm: -3,794, adgsvm: -20,069
FallDetector: svm: 2,337, theta: 73,652, dsvm: 10,903, agsvm: 1,912, adgsvm: 8,923
FallDetector: svm: 11,847, theta: 85,053, dsvm: 11,476, agsvm: 11,196, adgsvm: 10,845
FallDetector: svm: 10,419, theta: 78,940, dsvm: 2,438, agsvm: 9,138, adgsvm: 2,139
FallDetector: svm: 9,647, theta: 83,006, dsvm: 1,191, agsvm: 8,898, adgsvm: 1,099
FallDetector: svm: 10,445, theta: -87,518, dsvm: 1,869, agsvm: -10,157, adgsvm: -1,817
FallDetector: svm: 10,437, theta: -84,985, dsvm: 0,661, agsvm: -9,856, adgsvm: -0,624
FallDetector: svm: 9,934, theta: -87,390, dsvm: 0,741, agsvm: -9,646, adgsvm: -0,720
FallDetector: svm: 4,808, theta: -40,236, dsvm: 5,194, agsvm: -2,150, adgsvm: -2,322
FallDetector: svm: 27,372, theta: -61,922, dsvm: 24,870, agsvm: -18,832, adgsvm: -17,111
FallDetector: svm: 7,371, theta: -82,295, dsvm: 21,197, agsvm: -6,740, adgsvm: -19,382
FallDetector: svm: 2,059, theta: 86,083, dsvm: 7,396, agsvm: 1,970, adgsvm: 7,074
FallDetector: svm: 18,891, theta: -62,484, dsvm: 19,967, agsvm: -13,115, adgsvm: -13,863
FallDetector: svm: 15,827, theta: -52,273, dsvm: 7,221, agsvm: -9,192, adgsvm: -4,194
FallDetector: svm: 3,735, theta: 71,364, dsvm: 17,290, agsvm: 2,962, adgsvm: 13,710
FallDetector: svm: 19,362, theta: 79,436, dsvm: 19,244, agsvm: 17,090, adgsvm: 16,985
FallDetector: svm: 3,776, theta: -21,327, dsvm: 19,583, agsvm: -0,895, adgsvm: -4,641
FallDetector: svm: 31,025, theta: -56,771, dsvm: 28,448, agsvm: -19,570, adgsvm: -17,945
FallDetector: svm: 5,027, theta: 59,720, dsvm: 29,287, agsvm: 3,336, adgsvm: 19,434
FallDetector: svm: 15,797, theta: 89,696, dsvm: 12,155, agsvm: 15,744, adgsvm: 12,114
FallDetector: svm: 9,298, theta: -43,933, dsvm: 11,744, agsvm: -4,539, adgsvm: -5,733
FallDetector: svm: 2,266, theta: 28,108, dsvm: 11,173, agsvm: 0,708, adgsvm: 3,489
FallDetector: svm: 4,894, theta: 84,763, dsvm: 5,488, agsvm: 4,609, adgsvm: 5,169
FallDetector: svm: 38,179, theta: -44,667, dsvm: 41,858, agsvm: -18,948, adgsvm: -20,774
FallDetector: svm: 4,268, theta: -47,116, dsvm: 34,256, agsvm: -2,234, adgsvm: -17,933
FallDetector: svm: 10,639, theta: 86,763, dsvm: 9,544, agsvm: 10,256, adgsvm: 9,201
FallDetector: svm: 9,978, theta: 86,330, dsvm: 0,857, agsvm: 9,571, adgsvm: 0,822
FallDetector: svm: 8,784, theta: 87,209, dsvm: 1,798, agsvm: 8,511, adgsvm: 1,742
FallDetector: svm: 10,079, theta: -88,952, dsvm: 1,901, agsvm: -9,961, adgsvm: -1,879
FallDetector: svm: 9,091, theta: 88,388, dsvm: 1,365, agsvm: 8,928, adgsvm: 1,340
FallDetector: svm: 9,576, theta: 89,386, dsvm: 0,520, agsvm: 9,511, adgsvm: 0,517
FallDetector: svm: 32,326, theta: -74,197, dsvm: 35,094, agsvm: -26,650, adgsvm: -28,932
FallDetector: svm: 8,025, theta: -50,484, dsvm: 37,317, agsvm: -4,502, adgsvm: -20,933
FallDetector: svm: 14,192, theta: 60,722, dsvm: 22,112, agsvm: 9,575, adgsvm: 14,919
FallDetector: svm: 12,651, theta: -87,344, dsvm: 7,741, agsvm: -12,278, adgsvm: -7,512
FallDetector: svm: 3,939, theta: -26,751, dsvm: 14,570, agsvm: -1,171, adgsvm: -4,331
FallDetector: svm: 33,939, theta: -63,824, dsvm: 34,120, agsvm: -24,068, adgsvm: -24,197
FallDetector: svm: 14,714, theta: 83,997, dsvm: 24,415, agsvm: 13,732, adgsvm: 22,786
FallDetector: svm: 20,747, theta: -64,773, dsvm: 14,121, agsvm: -14,932, adgsvm: -10,163
FallDetector: svm: 6,345, theta: -39,765, dsvm: 23,165, agsvm: -2,803, adgsvm: -10,235
FallDetector: svm: 13,395, theta: 83,072, dsvm: 17,366, agsvm: 12,364, adgsvm: 16,029
FallDetector: svm: 5,299, theta: 61,188, dsvm: 9,993, agsvm: 3,602, adgsvm: 6,794
FallDetector: svm: 19,844, theta: -60,597, dsvm: 17,982, agsvm: -13,361, adgsvm: -12,107
FallDetector: svm: 4,428, theta: -44,939, dsvm: 21,451, agsvm: -2,211, adgsvm: -10,711
FallDetector: svm: 19,813, theta: -71,303, dsvm: 21,776, agsvm: -15,697, adgsvm: -17,252
FallDetector: svm: 3,143, theta: 10,449, dsvm: 20,856, agsvm: 0,365, adgsvm: 2,421
FallDetector: svm: 29,904, theta: -67,692, dsvm: 31,258, agsvm: -22,492, adgsvm: -23,510
FallDetector: svm: 2,776, theta: -21,762, dsvm: 28,702, agsvm: -0,671, adgsvm: -6,940
FallDetector: svm: 17,497, theta: -52,460, dsvm: 15,336, agsvm: -10,199, adgsvm: -8,939
FallDetector: svm: 8,099, theta: -52,465, dsvm: 9,694, agsvm: -4,721, adgsvm: -5,651
FallDetector: svm: 13,311, theta: -29,033, dsvm: 6,707, agsvm: -4,294, adgsvm: -2,164
FallDetector: svm: 15,278, theta: -29,593, dsvm: 2,089, agsvm: -5,024, adgsvm: -0,687
FallDetector: svm: 8,482, theta: -20,570, dsvm: 7,079, agsvm: -1,939, adgsvm: -1,618
FallDetector: svm: 10,723, theta: -13,388, dsvm: 2,580, agsvm: -1,595, adgsvm: -0,384
FallDetector: svm: 11,656, theta: -20,341, dsvm: 2,315, agsvm: -2,634, adgsvm: -0,523
FallDetector: svm: 34,037, theta: -71,508, dsvm: 32,074, agsvm: -27,043, adgsvm: -25,484
FallDetector: svm: 7,723, theta: -34,416, dsvm: 36,903, agsvm: -2,953, adgsvm: -14,111
FallDetector: svm: 13,514, theta: 77,697, dsvm: 19,607, agsvm: 11,667, adgsvm: 16,927
FallDetector: svm: 10,919, theta: 80,167, dsvm: 3,514, agsvm: 9,726, adgsvm: 3,130
FallDetector: svm: 4,653, theta: -5,951, dsvm: 12,836, agsvm: -0,308, adgsvm: -0,849
FallDetector: svm: 29,722, theta: -64,148, dsvm: 28,345, agsvm: -21,185, adgsvm: -20,203
FallDetector: svm: 6,401, theta: 54,019, dsvm: 27,328, agsvm: 3,842, adgsvm: 16,403
FallDetector: svm: 13,338, theta: -40,739, dsvm: 14,416, agsvm: -6,038, adgsvm: -6,526
FallDetector: svm: 14,089, theta: -35,260, dsvm: 5,598, agsvm: -5,520, adgsvm: -2,193
FallDetector: svm: 8,639, theta: 38,223, dsvm: 18,977, agsvm: 3,669, adgsvm: 8,060
FallDetector: svm: 33,511, theta: -74,633, dsvm: 31,194, agsvm: -27,790, adgsvm: -25,868
FallDetector: svm: 5,937, theta: -52,281, dsvm: 37,040, agsvm: -3,449, adgsvm: -21,517
FallDetector: svm: 23,634, theta: -70,610, dsvm: 27,172, agsvm: -18,542, adgsvm: -21,318
FallDetector: svm: 5,900, theta: 57,323, dsvm: 20,556, agsvm: 3,758, adgsvm: 13,093
FallDetector: svm: 10,313, theta: -70,171, dsvm: 8,278, agsvm: -8,041, adgsvm: -6,454
FallDetector: svm: 8,835, theta: -27,911, dsvm: 8,297, agsvm: -2,740, adgsvm: -2,573
FallDetector: svm: 11,437, theta: 52,399, dsvm: 16,251, agsvm: 6,659, adgsvm: 9,462
FallDetector: svm: 27,630, theta: 85,294, dsvm: 19,236, agsvm: 26,185, adgsvm: 18,230
FallDetector: svm: 5,503, theta: -30,465, dsvm: 31,111, agsvm: -1,863, adgsvm: -10,531
FallDetector: svm: 24,426, theta: -71,074, dsvm: 26,064, agsvm: -19,289, adgsvm: -20,583
FallDetector: svm: 7,928, theta: 80,499, dsvm: 17,863, agsvm: 7,091, adgsvm: 15,977
FallDetector: svm: 13,867, theta: -61,216, dsvm: 9,100, agsvm: -9,432, adgsvm: -6,189
FallDetector: svm: 6,009, theta: -15,947, dsvm: 13,295, agsvm: -1,065, adgsvm: -2,356
FallDetector: svm: 13,168, theta: 61,755, dsvm: 16,981, agsvm: 9,036, adgsvm: 11,652
