FallDetector: svm: 9,127, theta: -49,630, dsvm: 2,692, agsvm: -5,033, adgsvm: -1,485
FallDetector: svm: 9,645, theta: -51,481, dsvm: 0,978, agsvm: -5,517, adgsvm: -0,559
FallDetector: svm: 10,224, theta: -49,926, dsvm: 0,922, agsvm: -5,672, adgsvm: -0,512
FallDetector: svm: 10,074, theta: -47,745, dsvm: 0,486, agsvm: -5,344, adgsvm: -0,258
FallDetector: svm: 10,044, theta: -46,850, dsvm: 0,510, agsvm: -5,228, adgsvm: -0,266
FallDetector: svm: 9,785, theta: -45,413, dsvm: 0,736, agsvm: -4,937, adgsvm: -0,372
FallDetector: svm: 10,016, theta: -46,853, dsvm: 0,671, agsvm: -5,214, adgsvm: -0,349
FallDetector: svm: 9,872, theta: -44,650, dsvm: 0,427, agsvm: -4,897, adgsvm: -0,212
FallDetector: svm: 9,866, theta: -46,181, dsvm: 0,288, agsvm: -5,062, adgsvm: -0,148
FallDetector: svm: 10,076, theta: -45,971, dsvm: 0,221, agsvm: -5,147, adgsvm: -0,113
FallDetector: svm: 10,029, theta: -46,624, dsvm: 0,222, agsvm: -5,196, adgsvm: -0,115
FallDetector: svm: 10,013, theta: -45,157, dsvm: 0,313, agsvm: -5,024, adgsvm: -0,157
FallDetector: svm: 8,667, theta: 77,323, dsvm: 10,470, agsvm: 7,446, adgsvm: 8,995
FallDetector: svm: 10,531, theta: -74,857, dsvm: 15,015, agsvm: -8,759, adgsvm: -12,489
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 10,531, theta: -74,857, dsvm: 0,000, agsvm: -8,759, adgsvm: -0,000
FallDetector: svm: 22,700, theta: -85,662, dsvm: 12,761, agsvm: -21,606, adgsvm: -12,146
FallDetector: svm: 14,283, theta: -70,848, dsvm: 16,978, agsvm: -11,244, adgsvm: -13,365
FallDetector: svm: 15,103, theta: -85,519, dsvm: 14,367, agsvm: -14,351, adgsvm: -13,652
FallDetector: svm: 11,006, theta: 87,276, dsvm: 4,452, agsvm: 10,673, adgsvm: 4,317
FallDetector: svm: 5,574, theta: 82,235, dsvm: 6,127, agsvm: 5,093, adgsvm: 5,598
FallDetector: svm: 14,886, theta: -85,971, dsvm: 15,278, agsvm: -14,220, adgsvm: -14,594
FallDetector: svm: 17,538, theta: -64,400, dsvm: 6,643, agsvm: -12,550, adgsvm: -4,754
FallDetector: svm: 22,657, theta: -79,299, dsvm: 9,617, agsvm: -19,963, adgsvm: -8,474
FallDetector: svm: 13,065, theta: -89,193, dsvm: 12,938, agsvm: -12,948, adgsvm: -12,822
FallDetector: svm: 12,955, theta: -64,272, dsvm: 16,430, agsvm: -9,252, adgsvm: -11,733
FallDetector: svm: 10,523, theta: 85,896, dsvm: 10,517, agsvm: 10,043, adgsvm: 10,037
FallDetector: svm: 9,379, theta: -65,940, dsvm: 15,676, agsvm: -6,872, adgsvm: -11,485
FallDetector: svm: 9,094, theta: -80,711, dsvm: 7,751, agsvm: -8,155, adgsvm: -6,951
FallDetector: svm: 10,537, theta: -81,255, dsvm: 1,465, agsvm: -9,513, adgsvm: -1,322
FallDetector: svm: 12,395, theta: -76,265, dsvm: 4,967, agsvm: -10,503, adgsvm: -4,209
FallDetector: svm: 8,419, theta: -62,106, dsvm: 7,929, agsvm: -5,810, adgsvm: -5,471
FallDetector: svm: 11,888, theta: -62,703, dsvm: 4,149, agsvm: -8,283, adgsvm: -2,891
FallDetector: svm: 11,071, theta: -64,301, dsvm: 3,908, agsvm: -7,910, adgsvm: -2,792
FallDetector: svm: 9,209, theta: -63,617, dsvm: 2,529, agsvm: -6,509, adgsvm: -1,788
FallDetector: svm: 9,692, theta: -68,475, dsvm: 3,868, agsvm: -7,374, adgsvm: -2,943
FallDetector: svm: 10,858, theta: -72,380, dsvm: 4,092, agsvm: -8,733, adgsvm: -3,291
FallDetector: svm: 6,911, theta: -69,629, dsvm: 4,629, agsvm: -5,347, adgsvm: -3,581
FallDetector: svm: 10,522, theta: -69,249, dsvm: 3,767, agsvm: -8,096, adgsvm: -2,898
FallDetector: svm: 10,745, theta: -80,703, dsvm: 3,149, agsvm: -9,635, adgsvm: -2,824
FallDetector: svm: 10,745, theta: -80,703, dsvm: 0,000, agsvm: -9,635, adgsvm: -0,000
FallDetector: svm: 10,745, theta: -80,703, dsvm: 0,000, agsvm: -9,635, adgsvm: -0,000
FallDetector: svm: 9,252, theta: -62,423, dsvm: 5,098, agsvm: -6,417, adgsvm: -3,536
FallDetector: svm: 9,668, theta: -71,085, dsvm: 1,488, agsvm: -7,636, adgsvm: -1,175
FallDetector: svm: 10,329, theta: -76,639, dsvm: 1,261, agsvm: -8,795, adgsvm: -1,074
FallDetector: svm: 9,721, theta: -75,434, dsvm: 0,685, agsvm: -8,148, adgsvm: -0,574
FallDetector: svm: 9,270, theta: -73,847, dsvm: 0,649, agsvm: -7,606, adgsvm: -0,532
FallDetector: svm: 10,104, theta: -74,089, dsvm: 1,085, agsvm: -8,318, adgsvm: -0,893
FallDetector: svm: 12,185, theta: -69,802, dsvm: 2,610, agsvm: -9,450, adgsvm: -2,025
FallDetector: svm: 11,103, theta: -86,080, dsvm: 3,722, agsvm: -10,619, adgsvm: -3,560
FallDetector: svm: 7,610, theta: 83,306, dsvm: 4,246, agsvm: 7,044, adgsvm: 3,930
FallDetector: svm: 9,092, theta: 73,311, dsvm: 2,074, agsvm: 7,406, adgsvm: 1,689
FallDetector: svm: 10,261, theta: -8,614, dsvm: 0,000, agsvm: -0,982, adgsvm: -0,000
FallDetector: svm: 10,261, theta: -8,614, dsvm: 0,000, agsvm: -0,982, adgsvm: -0,000
FallDetector: svm: 10,261, theta: -8,614, dsvm: 0,000, agsvm: -0,982, adgsvm: -0,000
FallDetector: svm: 10,261, theta: -8,614, dsvm: 0,000, agsvm: -0,982, adgsvm: -0,000
FallDetector: svm: 10,261, theta: -8,614, dsvm: 0,000, agsvm: -0,982, adgsvm: -0,000
FallDetector: svm: 10,261, theta: -8,614, dsvm: 0,000, agsvm: -0,982, adgsvm: -0,000
FallDetector: svm: 11,074, theta: -30,795, dsvm: 4,184, agsvm: -3,789, adgsvm: -1,432
FallDetector: svm: 8,024, theta: -48,858, dsvm: 7,941, agsvm: -4,356, adgsvm: -4,311
FallDetector: svm: 9,886, theta: -73,033, dsvm: 6,022, agsvm: -8,022, adgsvm: -4,887
FallDetector: svm: 9,076, theta: -84,836, dsvm: 2,897, agsvm: -8,556, adgsvm: -2,731
FallDetector: svm: 10,113, theta: -87,218, dsvm: 1,937, agsvm: -9,801, adgsvm: -1,877
FallDetector: svm: 10,027, theta: 89,525, dsvm: 0,672, agsvm: 9,974, adgsvm: 0,668
FallDetector: svm: 9,815, theta: -83,883, dsvm: 1,165, agsvm: -9,148, adgsvm: -1,086
FallDetector: svm: 10,644, theta: 79,597, dsvm: 4,362, agsvm: 9,414, adgsvm: 3,858
FallDetector: svm: 8,796, theta: 86,467, dsvm: 2,584, agsvm: 8,451, adgsvm: 2,483
FallDetector: svm: 10,070, theta: 88,657, dsvm: 1,332, agsvm: 9,920, adgsvm: 1,312
FallDetector: svm: 9,745, theta: 88,388, dsvm: 0,665, agsvm: 9,571, adgsvm: 0,653
FallDetector: svm: 10,893, theta: 86,436, dsvm: 1,204, agsvm: 10,461, adgsvm: 1,157
FallDetector: svm: 9,235, theta: -87,903, dsvm: 1,931, agsvm: -9,020, adgsvm: -1,886
FallDetector: svm: 9,313, theta: -88,628, dsvm: 0,293, agsvm: -9,171, adgsvm: -0,288
FallDetector: svm: 9,704, theta: -89,924, dsvm: 0,455, agsvm: -9,696, adgsvm: -0,455
FallDetector: svm: 9,723, theta: 87,819, dsvm: 0,571, agsvm: 9,488, adgsvm: 0,557
FallDetector: svm: 8,924, theta: 88,850, dsvm: 1,480, agsvm: 8,810, adgsvm: 1,461
FallDetector: svm: 12,961, theta: 77,510, dsvm: 6,505, agsvm: 11,163, adgsvm: 5,602
FallDetector: svm: 9,457, theta: -58,138, dsvm: 4,381, agsvm: -6,109, adgsvm: -2,830
FallDetector: svm: 9,589, theta: -79,102, dsvm: 4,604, agsvm: -8,428, adgsvm: -4,046
FallDetector: svm: 10,956, theta: 77,345, dsvm: 4,445, agsvm: 9,415, adgsvm: 3,820
FallDetector: svm: 9,113, theta: 73,725, dsvm: 3,095, agsvm: 7,465, adgsvm: 2,536
FallDetector: svm: 9,568, theta: 78,179, dsvm: 1,213, agsvm: 8,311, adgsvm: 1,054
FallDetector: svm: 10,079, theta: 78,229, dsvm: 0,548, agsvm: 8,761, adgsvm: 0,477
FallDetector: svm: 9,174, theta: 81,796, dsvm: 1,282, agsvm: 8,338, adgsvm: 1,165
FallDetector: svm: 9,298, theta: 81,788, dsvm: 0,181, agsvm: 8,450, adgsvm: 0,165
FallDetector: svm: 9,714, theta: 79,741, dsvm: 0,607, agsvm: 8,607, adgsvm: 0,538
FallDetector: svm: 9,841, theta: 79,987, dsvm: 0,135, agsvm: 8,746, adgsvm: 0,120
FallDetector: svm: 9,832, theta: 79,753, dsvm: 0,102, agsvm: 8,713, adgsvm: 0,091
FallDetector: svm: 9,742, theta: 79,310, dsvm: 0,655, agsvm: 8,585, adgsvm: 0,577
FallDetector: svm: 9,793, theta: 79,485, dsvm: 0,178, agsvm: 8,649, adgsvm: 0,157
FallDetector: svm: 9,370, theta: 81,969, dsvm: 0,608, agsvm: 8,534, adgsvm: 0,554
FallDetector: svm: 7,895, theta: 77,914, dsvm: 4,373, agsvm: 6,835, adgsvm: 3,785
FallDetector: svm: 9,354, theta: 77,183, dsvm: 4,836, agsvm: 8,022, adgsvm: 4,147
FallDetector: svm: 9,874, theta: 77,982, dsvm: 1,093, agsvm: 8,556, adgsvm: 0,947
FallDetector: svm: 8,643, theta: 71,075, dsvm: 2,296, agsvm: 6,825, adgsvm: 1,813
FallDetector: svm: 9,224, theta: -87,310, dsvm: 5,441, agsvm: -8,948, adgsvm: -5,278
