x;y;z;a
6.385;-7.465;2.477;10.130
6.251;-7.561;2.439;10.109
6.232;-7.542;2.305;10.051
6.251;-7.580;2.285;10.087
6.328;-7.465;2.400;10.076
6.270;-7.657;2.285;10.157
6.270;-7.638;2.496;10.192
6.213;-7.523;2.075;9.975
6.136;-7.580;1.979;9.951
6.692;-7.254;2.285;10.130
6.213;-7.752;1.730;10.084
7.094;-6.852;1.768;10.020
6.596;-7.484;1.519;10.090
7.151;-6.852;1.596;10.031
6.749;-7.446;1.692;10.191
6.864;-7.216;1.768;10.115
6.730;-7.408;1.673;10.147
6.864;-7.197;1.634;10.078
6.807;-7.216;1.500;10.032
6.998;-7.005;1.538;10.020
6.902;-6.986;1.519;9.937
6.960;-7.312;1.941;10.279
6.807;-6.948;2.113;9.953
6.653;-7.408;1.692;10.099
6.500;-6.948;3.282;10.064
8.818;-8.270;0.236;12.091
5.102;-7.216;0.083;8.838
7.496;-5.818;3.128;9.991
6.615;-7.389;2.075;10.132
7.017;-6.143;1.558;9.455
7.266;-5.033;2.381;9.154
10.159;-7.676;1.347;12.804
5.619;-6.814;1.596;8.975
5.772;-6.239;1.194;8.583
1.711;-1.432;-0.127;2.234
-0.509;1.996;-2.713;3.407
-0.222;0.100;-15.853;15.855
6.404;-0.417;-6.295;8.989
3.799;5.080;-1.698;6.567
-0.988;-4.784;-9.129;10.354
1.788;-2.102;-9.455;9.849
1.194;-2.274;-9.378;9.723
-0.050;-1.566;-9.666;9.792
-0.088;-1.546;-9.742;9.864
-0.107;-1.546;-9.685;9.808
-0.088;-1.546;-9.704;9.827
-0.088;-1.527;-9.723;9.843
-0.107;-1.527;-9.704;9.824
-0.088;-1.546;-9.723;9.845
-0.088;-1.546;-9.704;9.827
-0.107;-1.546;-9.704;9.827
-0.088;-1.546;-9.723;9.845
-0.107;-1.546;-9.723;9.846
-0.088;-1.546;-9.685;9.808
-0.069;-1.546;-9.723;9.845
-0.088;-1.546;-9.704;9.827
-0.107;-1.546;-9.704;9.827
-0.088;-1.546;-9.723;9.845
-0.088;-1.546;-9.704;9.827
-0.107;-1.546;-9.704;9.827
-0.107;-1.546;-9.723;9.846
-0.107;-1.546;-9.704;9.827
-0.126;-1.546;-9.704;9.827
-0.088;-1.546;-9.723;9.845
-0.107;-1.546;-9.742;9.864
-0.107;-1.546;-9.704;9.827
-0.088;-1.546;-9.723;9.845
-0.107;-1.546;-9.685;9.808
-0.107;-1.546;-9.704;9.827
-0.107;-1.546;-9.723;9.846
-0.107;-1.546;-9.704;9.827
-0.126;-1.566;-9.704;9.830
-0.107;-1.546;-9.704;9.827
-0.088;-1.566;-9.723;9.849
-0.088;-1.546;-9.723;9.845
-0.107;-1.546;-9.704;9.827
-0.088;-1.566;-9.723;9.849
-0.107;-1.566;-9.685;9.811
-0.126;-1.546;-9.704;9.827
-0.126;-1.546;-9.704;9.827
-0.126;-1.566;-9.704;9.830
-0.107;-1.546;-9.704;9.827
0.008;-1.183;-10.106;10.175
-1.735;-2.236;-12.386;12.705
-1.582;0.234;-8.019;8.177
-4.819;0.521;-8.153;9.485
-5.777;-0.283;-6.410;8.634
-7.558;1.632;-5.145;9.288
-7.826;1.651;-4.264;9.064
-8.056;1.441;-5.030;9.606
-8.286;1.383;-4.973;9.763
-8.190;1.345;-4.705;9.541
-8.344;1.307;-5.030;9.830
-8.286;1.383;-4.379;9.474
-8.305;1.460;-4.475;9.547
-8.229;1.460;-4.590;9.535
-8.305;1.326;-4.801;9.684
-8.248;1.421;-4.858;9.678
-8.037;1.709;-5.030;9.634
-7.980;1.862;-4.839;9.517
-7.960;1.843;-5.165;9.666
