x;y;z;a
-2.310;0.617;8.530;8.859
-2.521;3.835;7.764;9.019
-0.395;3.471;9.143;9.788
-0.395;3.471;9.143;9.788
-0.395;3.471;9.143;9.788
-0.395;3.471;9.143;9.788
-0.395;3.471;9.143;9.788
-1.429;2.935;9.104;9.672
-1.620;2.149;9.258;9.641
-1.984;2.552;9.104;9.661
-2.214;3.222;8.645;9.488
-2.214;3.414;8.760;9.659
-2.195;3.279;8.721;9.572
-2.214;3.452;8.798;9.707
-2.157;3.605;8.683;9.646
-2.138;3.528;8.702;9.630
-2.176;3.682;8.664;9.662
-2.080;3.624;8.568;9.533
-1.984;3.299;8.626;9.446
