FallDetector: calibrazione: normX: -0.159; normY: -0.402; normZ: -0.077; counter: 50
FallDetector: svm: 9,952, theta: -42,403, dsvm: 0,127, agsvm: -4,689, adgsvm: -0,060
FallDetector: svm: 9,926, theta: -42,241, dsvm: 0,038, agsvm: -4,659, adgsvm: -0,018
FallDetector: svm: 9,939, theta: -42,324, dsvm: 0,027, agsvm: -4,674, adgsvm: -0,013
FallDetector: svm: 9,941, theta: -42,170, dsvm: 0,027, agsvm: -4,658, adgsvm: -0,013
FallDetector: svm: 9,953, theta: -42,249, dsvm: 0,027, agsvm: -4,672, adgsvm: -0,013
FallDetector: svm: 9,941, theta: -42,170, dsvm: 0,027, agsvm: -4,658, adgsvm: -0,013
FallDetector: svm: 9,967, theta: -42,175, dsvm: 0,033, agsvm: -4,671, adgsvm: -0,015
FallDetector: svm: 9,940, theta: -42,168, dsvm: 0,027, agsvm: -4,657, adgsvm: -0,013
FallDetector: svm: 9,940, theta: -42,168, dsvm: 0,000, agsvm: -4,657, adgsvm: -0,000
FallDetector: svm: 9,955, theta: -42,096, dsvm: 0,027, agsvm: -4,656, adgsvm: -0,013
FallDetector: svm: 9,927, theta: -42,243, dsvm: 0,038, agsvm: -4,659, adgsvm: -0,018
FallDetector: svm: 35,530, theta: -64,839, dsvm: 33,847, agsvm: -25,597, adgsvm: -24,385
FallDetector: svm: 7,695, theta: -69,199, dsvm: 28,012, agsvm: -5,917, adgsvm: -21,538
FallDetector: svm: 9,570, theta: -71,120, dsvm: 2,833, agsvm: -7,562, adgsvm: -2,239
FallDetector: svm: 9,613, theta: -74,792, dsvm: 0,851, agsvm: -7,988, adgsvm: -0,707
FallDetector: svm: 10,265, theta: -76,767, dsvm: 0,982, agsvm: -8,755, adgsvm: -0,838
FallDetector: svm: 10,196, theta: -78,001, dsvm: 0,252, agsvm: -8,837, adgsvm: -0,218
FallDetector: svm: 9,950, theta: -77,812, dsvm: 0,271, agsvm: -8,603, adgsvm: -0,235
FallDetector: svm: 9,943, theta: -77,691, dsvm: 0,057, agsvm: -8,583, adgsvm: -0,049
FallDetector: svm: 9,849, theta: -77,572, dsvm: 0,115, agsvm: -8,489, adgsvm: -0,099
FallDetector: svm: 9,864, theta: -77,591, dsvm: 0,019, agsvm: -8,504, adgsvm: -0,016
FallDetector: svm: 9,860, theta: -77,699, dsvm: 0,019, agsvm: -8,513, adgsvm: -0,016
FallDetector: svm: 9,864, theta: -77,591, dsvm: 0,019, agsvm: -8,504, adgsvm: -0,016
FallDetector: svm: 9,844, theta: -77,566, dsvm: 0,038, agsvm: -8,484, adgsvm: -0,033
FallDetector: svm: 9,854, theta: -77,579, dsvm: 0,019, agsvm: -8,494, adgsvm: -0,016
FallDetector: svm: 9,870, theta: -77,598, dsvm: 0,019, agsvm: -8,510, adgsvm: -0,016
FallDetector: svm: 9,860, theta: -77,699, dsvm: 0,033, agsvm: -8,513, adgsvm: -0,028
FallDetector: svm: 9,886, theta: -77,732, dsvm: 0,027, agsvm: -8,538, adgsvm: -0,023
FallDetector: svm: 9,885, theta: -77,617, dsvm: 0,033, agsvm: -8,525, adgsvm: -0,028
FallDetector: svm: 9,869, theta: -75,772, dsvm: 0,744, agsvm: -8,309, adgsvm: -0,626
FallDetector: svm: 9,491, theta: -76,381, dsvm: 0,476, agsvm: -8,055, adgsvm: -0,404
FallDetector: svm: 9,718, theta: -77,287, dsvm: 0,340, agsvm: -8,346, adgsvm: -0,292
FallDetector: svm: 9,870, theta: -77,598, dsvm: 0,292, agsvm: -8,510, adgsvm: -0,252
FallDetector: svm: 9,890, theta: -77,624, dsvm: 0,038, agsvm: -8,530, adgsvm: -0,033
FallDetector: svm: 9,970, theta: -79,525, dsvm: 20,426, agsvm: -8,810, adgsvm: -18,048
FallDetector: svm: 11,541, theta: 71,587, dsvm: 16,563, agsvm: 9,180, adgsvm: 13,175
FallDetector: svm: 9,773, theta: -87,345, dsvm: 4,405, agsvm: -9,485, adgsvm: -4,275
FallDetector: svm: 9,957, theta: -88,051, dsvm: 0,374, agsvm: -9,742, adgsvm: -0,366
FallDetector: svm: 9,820, theta: 89,409, dsvm: 0,633, agsvm: 9,756, adgsvm: 0,629
FallDetector: svm: 9,821, theta: 89,520, dsvm: 0,027, agsvm: 9,768, adgsvm: 0,027
FallDetector: svm: 9,821, theta: 89,520, dsvm: 0,019, agsvm: 9,769, adgsvm: 0,019
FallDetector: svm: 9,821, theta: 89,520, dsvm: 0,000, agsvm: 9,769, adgsvm: 0,000
FallDetector: svm: 9,821, theta: 89,520, dsvm: 0,000, agsvm: 9,769, adgsvm: 0,000
FallDetector: svm: 9,820, theta: 89,631, dsvm: 0,027, agsvm: 9,780, adgsvm: 0,027
FallDetector: svm: 9,821, theta: 89,631, dsvm: 0,019, agsvm: 9,780, adgsvm: 0,019
FallDetector: svm: 9,821, theta: 89,520, dsvm: 0,027, agsvm: 9,768, adgsvm: 0,027
FallDetector: svm: 9,821, theta: 89,520, dsvm: 0,019, agsvm: 9,769, adgsvm: 0,019
FallDetector: svm: 9,840, theta: 89,521, dsvm: 0,027, agsvm: 9,787, adgsvm: 0,027
FallDetector: svm: 9,840, theta: 89,521, dsvm: 0,019, agsvm: 9,787, adgsvm: 0,019
FallDetector: svm: 9,840, theta: 89,521, dsvm: 0,000, agsvm: 9,787, adgsvm: 0,000
FallDetector: svm: 9,820, theta: 89,631, dsvm: 0,033, agsvm: 9,780, adgsvm: 0,033
FallDetector: svm: 9,820, theta: 89,631, dsvm: 0,000, agsvm: 9,780, adgsvm: 0,000
FallDetector: svm: 9,802, theta: 89,519, dsvm: 0,033, agsvm: 9,750, adgsvm: 0,033
FallDetector: svm: 9,821, theta: 89,631, dsvm: 0,027, agsvm: 9,780, adgsvm: 0,027
FallDetector: svm: 9,821, theta: 89,520, dsvm: 0,019, agsvm: 9,769, adgsvm: 0,019
FallDetector: svm: 9,821, theta: 89,631, dsvm: 0,019, agsvm: 9,780, adgsvm: 0,019
FallDetector: svm: 9,840, theta: 89,521, dsvm: 0,027, agsvm: 9,787, adgsvm: 0,027
FallDetector: svm: 11,120, theta: -25,118, dsvm: 26,927, agsvm: -3,104, adgsvm: -7,515
FallDetector: svm: 11,819, theta: -45,997, dsvm: 5,208, agsvm: -6,040, adgsvm: -2,662
FallDetector: svm: 5,930, theta: -65,655, dsvm: 8,714, agsvm: -4,326, adgsvm: -6,357
FallDetector: svm: 13,806, theta: 78,047, dsvm: 14,086, agsvm: 11,972, adgsvm: 12,215
FallDetector: svm: 13,771, theta: 88,463, dsvm: 3,888, agsvm: 13,536, adgsvm: 3,822
FallDetector: svm: 8,574, theta: -82,726, dsvm: 5,861, agsvm: -7,881, adgsvm: -5,387
FallDetector: svm: 9,285, theta: -80,179, dsvm: 0,962, agsvm: -8,272, adgsvm: -0,857
FallDetector: svm: 9,723, theta: -78,216, dsvm: 0,553, agsvm: -8,450, adgsvm: -0,481
FallDetector: svm: 9,647, theta: -79,864, dsvm: 0,290, agsvm: -8,560, adgsvm: -0,258
FallDetector: svm: 9,663, theta: -79,067, dsvm: 0,176, agsvm: -8,489, adgsvm: -0,154
FallDetector: svm: 9,700, theta: -78,881, dsvm: 0,243, agsvm: -8,502, adgsvm: -0,213
FallDetector: svm: 9,775, theta: -80,908, dsvm: 0,361, agsvm: -8,788, adgsvm: -0,324
FallDetector: svm: 9,615, theta: -79,012, dsvm: 0,597, agsvm: -8,441, adgsvm: -0,524
FallDetector: svm: 9,622, theta: -79,953, dsvm: 0,164, agsvm: -8,548, adgsvm: -0,146
FallDetector: svm: 9,609, theta: -78,889, dsvm: 0,190, agsvm: -8,423, adgsvm: -0,167
FallDetector: svm: 9,561, theta: -79,419, dsvm: 0,104, agsvm: -8,437, adgsvm: -0,091
FallDetector: svm: 10,480, theta: -73,910, dsvm: 1,360, agsvm: -8,607, adgsvm: -1,117
FallDetector: svm: 11,091, theta: -88,550, dsvm: 9,325, agsvm: -10,912, adgsvm: -9,175
FallDetector: svm: 9,738, theta: -82,580, dsvm: 1,828, agsvm: -8,936, adgsvm: -1,677
FallDetector: svm: 9,713, theta: -83,357, dsvm: 1,480, agsvm: -8,996, adgsvm: -1,370
FallDetector: svm: 9,695, theta: -82,660, dsvm: 0,121, agsvm: -8,905, adgsvm: -0,111
FallDetector: svm: 9,698, theta: -83,007, dsvm: 0,061, agsvm: -8,945, adgsvm: -0,056
FallDetector: svm: 9,777, theta: -82,722, dsvm: 0,147, agsvm: -8,987, adgsvm: -0,135
FallDetector: svm: 9,628, theta: -82,842, dsvm: 0,218, agsvm: -8,862, adgsvm: -0,201
FallDetector: svm: 9,616, theta: -82,713, dsvm: 0,192, agsvm: -8,837, adgsvm: -0,177
FallDetector: svm: 9,563, theta: -82,908, dsvm: 0,069, agsvm: -8,810, adgsvm: -0,064
FallDetector: svm: 5,492, theta: -23,153, dsvm: 9,741, agsvm: -1,413, adgsvm: -2,506
FallDetector: svm: 7,425, theta: -18,956, dsvm: 2,109, agsvm: -1,564, adgsvm: -0,444
FallDetector: svm: 3,680, theta: -39,765, dsvm: 4,953, agsvm: -1,626, adgsvm: -2,188
FallDetector: svm: 17,498, theta: -89,769, dsvm: 15,998, agsvm: -17,453, adgsvm: -15,957
FallDetector: svm: 11,158, theta: -86,291, dsvm: 8,386, agsvm: -10,698, adgsvm: -8,041
FallDetector: svm: 12,607, theta: -86,809, dsvm: 3,280, agsvm: -12,160, adgsvm: -3,164
FallDetector: svm: 5,884, theta: -73,616, dsvm: 11,530, agsvm: -4,813, adgsvm: -9,431
FallDetector: svm: 9,564, theta: -88,660, dsvm: 7,253, agsvm: -9,421, adgsvm: -7,145
FallDetector: svm: 10,165, theta: -80,820, dsvm: 4,036, agsvm: -9,129, adgsvm: -3,624
FallDetector: svm: 9,483, theta: -83,548, dsvm: 1,037, agsvm: -8,803, adgsvm: -0,963
FallDetector: svm: 9,504, theta: -84,834, dsvm: 0,612, agsvm: -8,958, adgsvm: -0,577
FallDetector: svm: 9,611, theta: -81,674, dsvm: 0,560, agsvm: -8,721, adgsvm: -0,509
