x;y;z;a
-2.174;0.415;12.822;13.012
-7.46;-3.875;5.601;10.102
-16.463;-1.423;14.259;21.826
-7.173;-3.683;-9.721;12.63
-9.242;-10.464;-10.334;17.37
-8.878;-14.754;1.081;17.253
-9.089;-1.481;-2.213;9.471
-6.254;-6.135;-5.258;10.218
-3.668;-1.442;-10.162;10.9
-7.671;-4.43;-6.331;10.888
-4.798;-10.062;-2.826;11.5
-12.958;-3.147;-2.711;13.608
4.28;-12.015;-10.143;16.296
-0.795;-1.289;0.966;1.797
6.732;-9.027;0.449;11.27
2.633;-16.363;4.797;17.254
2.863;-4.89;4.605;7.302
10.314;-9.583;-1.313;14.14
8.437;-4.124;4.969;10.624
10.601;-3.951;3.149;11.743
7.919;-3.109;3.207;9.092
8.015;-4.296;3.475;9.735
7.881;-3.358;3.264;9.167
8.283;-1.902;3.839;9.325
8.073;-4.162;5.812;10.783
