x;y;z;a
7.077;-3.875;-4.607;9.291
12.995;-5.292;-8.744;16.533
7.019;-7.399;1.809;10.358
11.578;-1.212;-1.274;11.71
9.356;-10.521;-2.194;14.249
10.601;1.104;2.958;11.061
5.908;-1.04;4.797;7.681
-1.159;-0.944;-0.01;1.495
15.849;-5.733;-4.894;17.55
-2.672;2.273;-9.262;9.904
3.38;11.792;0.506;12.277
6.751;13.133;-0.01;14.766
6.847;-4.392;0.487;8.149
-0.048;0.664;4.663;4.71
3.955;4.035;-4.396;7.159
0.201;-28.852;-5.22;29.321
0.698;7.636;-1.006;7.733
-6.005;-7.667;-3.247;10.266
-21.022;-2.4;-7.902;22.586
10.237;-7.265;-12.556;17.755
-14.126;-26.324;-5.124;30.311
-4.626;-21.956;-5.871;23.194
-2.729;0.357;1.196;3.001
0.048;-4.928;6.75;8.358
3.437;-8.031;5.18;10.156
