x;y;z;a
-2.346;-9.295;-2.768;9.978
4.05;-14.199;-5.45;15.739
-5.526;-8.817;-2.481;10.698
-5.066;-8.204;-2.366;9.928
-4.932;-8.568;-2.826;10.282
-3.093;-8.568;-2.232;9.379
-4.396;-8.721;-2.328;10.04
-4.875;-9.123;-2.5;10.642
-4.128;-8.568;-1.945;9.708
-4.472;-8.836;-2.194;10.144
-11.176;-8.319;-8.036;16.084
-12.881;-17.838;-33.511;40.089
-38.854;-2.093;-26.137;46.874
-22.803;-3.032;-38.031;44.447
-11.31;-0.829;-11.464;16.126
-1.331;-0.906;4.49;4.77
-9.05;-6.767;-10.679;15.548
-5.947;-7.169;-1.945;9.516
-8.265;-6.269;-4.703;11.39
-5.947;-8.932;-2.136;10.942
-6.043;-9.123;-2.462;11.217
-6.024;-9.43;-0.355;11.196
-12.019;-5.331;-15.851;20.595
-6.771;-2.247;-3.898;8.13
-1.063;-3.453;-1.6;3.952
