x;y;z;a
2.001;-3.798;6.329;7.647
-1.657;1.87;9.049;9.388
-2.998;1.87;10.198;10.793
-3.132;2.445;8.647;9.516
-6.215;-1.73;-0.891;6.513
3.054;-20.309;4.26;20.975
2.173;-11.728;2.651;12.219
-2.94;-5.58;7.478;9.783
-0.124;-5.445;5.467;7.717
1.235;-11.671;-1.887;11.887
-3.381;-11.134;-2.787;11.965
-5.737;-7.552;-0.087;9.485
-8.782;-6.652;1.349;11.1
-8.974;-5.043;0.239;10.297
-8.342;-2.534;0.755;8.751
-7.786;-3.53;0.564;8.568
-9.376;-5.024;0.449;10.647
-10.161;-3.549;-0.757;10.79
-8.437;-3.645;-0.987;9.244
-8.686;-4.296;0.315;9.696
-7.307;-3.99;2.441;8.676
-9.951;-2.285;-0.604;10.228
-9.874;-1.461;-0.029;9.982
-8.016;-1.481;-0.489;8.167
-10.927;-1.595;-0.623;11.061
