x;y;z;a
-0.203;-3.089;-10.922;11.353
4.911;38.407;-28.582;48.127
-2.616;0.1;-5.914;6.467
0.372;2.695;-5.234;5.899
-0.366;1.24;-9.687;9.773
1.712;0.387;-9.409;9.572
-0.155;0.905;-9.026;9.073
-0.318;0.502;-9.352;9.371
-0.213;0.502;-9.486;9.502
-0.289;0.474;-9.342;9.359
-0.308;0.454;-9.323;9.339
-0.251;0.464;-9.4;9.414
-0.261;0.502;-9.352;9.369
-0.251;0.474;-9.428;9.444
-0.308;0.541;-9.409;9.43
-0.337;0.454;-9.4;9.417
-0.328;0.426;-9.333;9.348
-0.308;0.512;-9.486;9.505
-0.251;0.588;-9.419;9.441
-0.328;0.349;-9.304;9.316
-0.299;0.464;-9.419;9.435
-0.308;0.426;-9.294;9.309
-0.366;0.474;-9.266;9.285
-0.328;0.502;-9.371;9.39
-0.289;0.474;-9.361;9.378
