x;y;z;a
-14.386;-10.846;-7.159;19.387
38.305;-35.947;37.852;64.748
16.901;-2.218;-13.7;21.869
-29.23;1.814;-3.587;29.505
0.237;0.818;-9.543;9.581
0.132;0.866;-9.428;9.469
0.142;0.761;-9.457;9.489
0.094;0.799;-9.457;9.491
0.218;0.866;-9.467;9.509
0.17;0.818;-9.476;9.513
0.17;0.847;-9.505;9.544
0.247;0.933;-9.505;9.554
0.199;0.818;-9.448;9.485
0.161;0.809;-9.419;9.455
0.18;0.876;-9.419;9.461
0.151;0.905;-9.448;9.492
0.151;0.895;-9.495;9.539
0.305;0.914;-9.582;9.63
0.161;0.933;-9.639;9.686
0.142;0.914;-9.515;9.559
0.228;0.895;-9.505;9.55
0.132;0.857;-9.524;9.564
0.151;0.876;-9.409;9.451
0.17;0.828;-9.438;9.476
0.17;0.933;-9.467;9.514
