x;y;z;a
1.599;-9.161;3.149;9.818
1.962;-10.138;1.502;10.435
2.058;-10.157;1.809;10.52
2.192;-9.525;2.345;10.051
2.135;-9.755;2.326;10.253
2.135;-9.755;2.326;10.253
2.403;-9.774;1.215;10.138
2.346;-10.023;0.22;10.296
1.848;-10.081;1.023;10.3
2.097;-9.774;0.908;10.038
1.675;-10.004;1.636;10.274
1.848;-9.64;0.927;9.859
1.79;-9.947;1.77;10.261
1.618;-10.081;2.249;10.455
1.924;-10.502;1.617;10.799
1.886;-9.43;2.556;9.951
1.675;-9.832;1.866;10.147
1.675;-9.832;1.866;10.147
0.966;-9.315;2.249;9.631
1.579;-10.215;1.464;10.44
2.116;-11.096;1.694;11.422
1.33;-10.483;0.429;10.576
1.637;-9.985;0.793;10.149
1.484;-10.157;1.349;10.353
0.794;-9.755;2.46;10.092
