x;y;z;a
-0.891;-10.445;2.153;10.702
-1.216;-7.533;3.36;8.338
-1.369;-9.774;2.498;10.181
-5.047;-12.245;1.981;13.392
-2.614;-8.893;1.368;9.37
-2.385;-9.391;1.847;9.864
-2.595;-8.951;1.464;9.434
-1.982;-9.679;0.851;9.917
-2.48;-10.157;1.713;10.595
-3.17;-9.008;2.058;9.769
-2.978;-9.085;2.575;9.902
-6.043;-6.94;1.789;9.375
-3.879;-7.303;3.188;8.863
-4.243;-8.319;3.245;9.887
-4.223;-9.372;3.188;10.763
-3.84;-8.817;3.188;10.132
-4.338;-8.932;2.824;10.324
5.027;-7.303;3.437;9.509
5.027;-7.303;3.437;9.509
5.027;-7.303;3.437;9.509
5.334;-6.729;3.513;9.277
6.291;-7.016;2.939;9.871
8.437;-6.652;6.214;12.411
7.728;-4.047;0.602;8.744
5.947;-3.147;3.781;7.718
