x;y;z;a
-8.763;-5.752;5.141;11.675
-4.875;-1.576;3.054;5.965
-4.817;-10.138;7.517;13.509
-10.487;-6.231;2.479;12.448
-4.836;-5.522;4.605;8.665
-6.254;-10.043;3.705;12.398
-4.453;-9.066;4.739;11.157
-7.805;-6.499;2.747;10.522
-9.778;-3.549;9.47;14.067
-6.062;-7.189;2.364;9.697
-4.166;-4.258;8.015;9.986
-5.047;-9.104;4.988;11.543
-2.787;-9.755;4.414;11.064
-2.71;-7.074;2.728;8.052
-7.767;-6.863;0.429;10.374
-7.518;-9.889;1.33;12.494
-7.518;-7.438;5.448;11.897
-8.112;-9.046;2.383;12.382
-9.012;-5.062;5.046;11.503
-9.165;-5.369;5.046;11.76
-11.196;4.15;6.731;13.707
-0.814;-36.092;8.244;37.031
-0.737;-9.544;2.651;9.933
0.832;-12.341;-0.623;12.385
-0.067;-1.117;4.05;4.202
