x;y;z;a
3.763;4.073;4.107;6.9
8.245;-2.438;6.693;10.896
8.59;-2.84;5.735;10.712
6.77;0.53;5.697;8.864
7.805;0.511;6.712;10.306
9.011;-0.122;5.218;10.413
5.468;3.116;5.927;8.645
8.954;3.211;3.073;9.996
6.425;-5.445;2.977;8.932
-0.642;-25.27;2.211;25.375
4.625;-6.307;0.87;7.869
4.05;-11.9;-5.852;13.866
4.836;-9.257;-0.432;10.453
3.878;-8.472;-1.562;9.447
5.085;-10.33;-1.37;11.595
4.567;-8.893;-1.14;10.062
6.023;-11.441;-0.489;12.939
3.418;-10.445;4.988;12.069
0.182;-9.219;5.295;10.633
3.188;-7.974;1.406;8.702
2.537;-9.219;3.781;10.282
6.923;-12.092;3.877;14.463
4.931;-1.059;3.59;6.19
9.241;-4.105;6.616;12.084
5.544;2.234;1.042;6.067
