x;y;z;a
-0.263;-7.668;3.99;8.649
0.033;-8.214;4.9;9.565
0.436;-8.071;5.58;9.822
0.56;-7.544;5.475;9.338
1.374;-7.544;5.398;9.378
0.876;-6.96;6.48;9.55
-1.058;-4.604;6.528;8.058
2.514;-5.619;6.538;8.98
1.786;-4.24;7.419;8.73
1.326;-5.724;8.089;9.998
1.661;-5.198;8.836;10.385
1.393;-4.029;8.108;9.161
1.307;-3.244;7.878;8.62
0.704;-2.746;8.731;9.179
1.096;-3.167;9.679;10.243
0.991;-4.02;10.426;11.218
-0.915;-4.336;8.185;9.307
1.374;-2.65;8.941;9.427
-0.838;-3.723;9.21;9.969
1.106;-3.79;10.34;11.068
-0.819;-4.154;9.334;10.249
0.311;-3.656;7.419;8.276
0.598;-4.374;8.242;9.35
0.953;-2.085;8.798;9.092
0.369;-2.966;8.769;9.265
