x;y;z;a
0.182;-17.838;7.995;19.549
1.254;-16.134;6.003;17.26
-0.105;-0.026;-12.039;12.04
-6.503;-15.712;-9.855;19.654
-6.886;-4.679;-14.261;16.513
-7.767;-5.235;-18.207;20.475
-7.211;-3.166;-5.469;9.588
-0.431;-10.713;-11.656;15.837
-5.411;-10.387;-6.676;13.481
-0.852;-8.548;-5.641;10.277
-5.143;-6.058;-6.35;10.172
-2.212;-4.89;-6.695;8.581
-2.978;-7.38;-6.657;10.376
-3.457;-7.955;-3.745;9.448
-3.285;-7.514;-3.19;8.8
-5.602;1.89;-10.66;12.19
-4.204;-9.219;-6.982;12.305
-5.104;-4.679;-5.316;8.73
-4.032;-6.671;2.326;8.135
-3.63;0.013;-9.281;9.966
-4.913;-0.925;-7.614;9.109
-2.48;-3.645;-10.449;11.341
-4.549;-9.181;-1.696;10.386
-3.266;-7.342;-0.336;8.043
4.357;-29.178;-1.217;29.527
