x;y;z;a
-14.05;5.012;-3.017;15.22
-9.529;-0.465;0.468;9.552
-8.686;-4.947;0.947;10.041
-4.549;-9.046;-7.71;12.727
-8.801;-9.295;-6.139;14.197
4.644;-2.247;-0.489;5.182
2.403;-7.265;-1.619;7.822
-0.737;-1.998;4.394;4.883
3.993;-5.829;0.774;7.108
-2.155;-9.257;0.621;9.525
3.246;-9.41;-6.714;12.007
5.085;-11.517;-5.316;13.666
2.595;-5.254;0.009;5.86
4.414;-10.866;-6.561;13.439
4.05;-4.526;-0.24;6.078
1.33;-1.557;-1.772;2.708
-15.218;-11.249;1.138;18.959
-8.437;-4.545;3.667;10.261
-10.238;-4.143;0.774;11.072
-9.28;-8.146;-0.681;12.367
-9.05;-6.135;1.062;10.985
-5.986;-5.637;0.602;8.245
-9.089;-7.265;-1.351;11.714
-5.219;-6.307;-1.945;8.415
-6.369;-8.587;-4.167;11.475
