x;y;z;a
0.737;-6.231;-0.681;6.311
-1.312;-13.375;-5.392;14.481
0.373;-4.737;6.98;8.444
-2.653;-3.281;4.586;6.232
-5.066;-7.993;3.667;10.149
4.357;-2.572;-2.922;5.842
4.376;-10.77;-1.217;11.689
4.855;-8.472;-3.994;10.55
5.525;-5.924;-2.424;8.455
4.816;-8.089;-2.826;9.829
4.031;-8.663;-2.443;9.862
2.824;-6.767;-0.451;7.346
4.682;-10.541;-2.002;11.706
4.759;-8.108;-4.569;10.453
4.089;-8.376;-2.309;9.603
4.625;-9.161;1.923;10.441
3.935;-12.13;-0.585;12.766
4.721;-7.074;-5.373;10.06
4.069;-9.142;-3.362;10.556
3.533;-8.683;-0.968;9.424
4.548;-10.1;-4.55;11.975
4.299;-10.943;-2.979;12.129
3.648;-9.621;-1.964;10.475
3.246;-8.548;-2.366;9.445
3.61;-8.874;-1.581;9.71
