x;y;z;a
-2.538;-9.908;0.066;10.228
4.663;-5.005;5.544;8.805
9.318;-2.572;3.839;10.401
1.369;0.338;7.133;7.271
3.188;2.215;7.172;8.155
-0.737;1.258;7.019;7.169
-1.944;6.218;12.937;14.485
6.559;0.415;13.684;15.18
5.87;-3.798;1.33;7.117
8.743;7.866;7.536;13.968
-1.044;1.277;10.007;10.142
3.207;3.767;12.114;13.085
-0.182;1.507;7.574;7.725
-2.998;1.277;15.044;15.393
-1.197;2.579;10.313;10.698
5.621;-0.81;13.665;14.798
1.35;-7.035;8.015;10.75
1.828;-4.718;3.264;6.021
0.449;5.088;11.156;12.27
5.41;-0.045;7.44;9.199
2.537;1.392;8.857;9.318
3.38;2.809;8.876;9.904
2.978;3.269;8.762;9.814
2.748;2.292;9.26;9.927
1.522;2.158;9.298;9.666
