x;y;z;a
6.176;-8.28;-5.163;11.548
-11.272;-11.9;-7.423;17.994
-8.801;-6.327;-4.32;11.669
-3.974;-8.491;-5.086;10.666
-2.04;-6.882;-7.768;10.577
-5.947;-2.304;-0.087;6.379
-3.61;-4.545;-1.159;5.919
-6.809;-10.847;-1.6;12.907
-2.136;-9.525;-6.733;11.859
-7.211;-7.897;-0.776;10.722
-0.833;-5.043;-5.929;7.8
-10.698;-6.537;-4.09;13.188
-3.323;-3.626;-3.515;6.046
-5.679;-1.902;-4.722;7.627
-6.809;-5.407;1.023;8.755
-5.679;-7.131;0.525;9.132
-5.813;-10.023;0.028;11.587
-1.867;-9.525;0.564;9.723
-0.009;-8.855;-1.504;8.982
-5.507;-7.61;-0.815;9.429
-6.1;-7.054;2.134;9.567
-7.958;-5.752;0.239;9.822
-2.653;-7.974;-1.677;8.57
-5.871;-7.476;-2.385;9.801
-1.848;-24.83;-4.607;25.321
