x;y;z;a
1.101;1.238;2.747;3.208
1.254;-1.768;3.781;4.358
-3.783;-6.441;-0.527;7.489
-14.509;-11.651;0.947;18.632
-8.342;-14.333;3.379;16.925
-9.529;-22.091;-14.855;28.275
0.144;1.353;0.334;1.401
2.901;3.384;2.919;5.328
0.392;-7.227;5.965;9.379
-7.422;-4.086;-0.719;8.503
-5.449;-6.71;3.628;9.375
-13.666;-3.913;0.966;14.248
-6.024;-1.5;0.698;6.247
-8.763;-2.093;4.663;10.145
-8.227;-6.346;-0.355;10.397
-9.472;-7.054;-0.048;11.811
-7.729;-1.155;-2.117;8.097
-9.759;-6.192;1.694;11.682
-8.093;-7.227;1.579;10.965
-7.02;-0.734;-1.37;7.19
-6.503;-5.158;1.674;8.468
-10.065;-5.35;-0.489;11.409
-9.663;-3.76;-0.968;10.414
-11.215;1.928;2.632;11.68
-8.093;-28.488;1.349;29.646
