x;y;z;a
-6.541;0.913;-6.408;9.203
-11.732;0.319;-2.404;11.98
-16.578;3.096;-3.094;17.146
-0.833;-2.055;-3.4;4.059
-6.867;0.338;1.138;6.969
-11.445;5.51;-0.834;12.73
-14.356;6.851;-2.519;16.105
-3.093;-3.07;-4.569;6.314
-9.395;1.621;-2.462;9.847
-8.342;-11.556;-2.787;14.523
-9.453;-2.687;-0.278;9.832
-6.56;-4.43;-2.826;8.405
-13.417;-1.366;-1.753;13.6
-10.544;-12.13;-1.332;16.128
-2.059;-3.626;-2.519;4.872
-5.315;-3.128;3.456;7.07
-8.954;-2.362;1.023;9.317
-10.602;-6.729;5.333;13.643
-7.709;-5.35;1.598;9.519
-7.384;-4.718;3.935;9.606
-6.311;-0.542;-3.898;7.438
-7.652;0.989;5.582;9.523
-13.494;-0.81;-4.588;14.276
-2.729;-7.514;-3.381;8.68
-23.646;-22.225;11.462;34.416
